phase_id,name,project_id,sequence,planned_start,planned_end,budget
PH-001,Site Prep & Excavation,PRJ-001,1,2024-06-01,2024-10-31,12500000
PH-002,Foundation & Structure,PRJ-001,2,2024-09-01,2025-08-31,48000000
PH-003,Building Envelope,PRJ-001,3,2025-04-01,2026-02-28,28000000
PH-004,MEP Rough-In,PRJ-001,4,2025-06-01,2026-04-30,35000000
PH-005,Interior Finishes,PRJ-001,5,2025-12-01,2026-10-31,42000000
PH-006,Closeout & Commissioning,PRJ-001,6,2026-08-01,2026-12-31,19500000
PH-007,Site Prep & Utilities,PRJ-002,1,2024-03-15,2024-09-30,22000000
PH-008,Foundation & Structure,PRJ-002,2,2024-07-01,2025-06-30,85000000
PH-009,MEP Systems,PRJ-002,3,2025-01-01,2026-06-30,95000000
PH-010,Interior Build-Out,PRJ-002,4,2025-09-01,2027-03-31,88000000
PH-011,Medical Equipment Install,PRJ-002,5,2026-10-01,2027-06-30,30000000
PH-012,Foundation & Structure,PRJ-003,1,2024-09-01,2025-06-30,38000000
PH-013,Envelope & MEP,PRJ-003,2,2025-03-01,2026-03-31,62000000
PH-014,Interior & Tech Fit-Out,PRJ-003,3,2025-10-01,2026-09-30,45000000
PH-015,Structure,PRJ-004,1,2025-01-15,2025-12-31,28000000
PH-016,Envelope & MEP,PRJ-004,2,2025-08-01,2026-08-31,38000000
PH-017,Finishes & Units,PRJ-004,3,2026-03-01,2027-01-31,26000000
PH-018,Civil & Structural,PRJ-005,1,2024-07-01,2025-09-30,95000000
PH-019,Systems & Rail,PRJ-005,2,2025-06-01,2026-12-31,80000000
PH-020,Finishes & Commissioning,PRJ-005,3,2026-09-01,2027-03-31,35000000
PH-021,Slab & Steel,PRJ-006,1,2025-03-01,2025-09-30,22000000
PH-022,Envelope & MEP,PRJ-006,2,2025-07-01,2026-03-31,32000000
PH-023,Closeout,PRJ-006,3,2026-02-01,2026-06-30,14000000
PH-024,Renovation & Structure,PRJ-011,1,2025-05-01,2025-12-31,12000000
PH-025,Interior Restoration,PRJ-011,2,2025-10-01,2026-04-30,16000000
