trade_id,advisor_id,client_id,timestamp,instrument,action,pre_trade_check,post_trade_filing_status
STR-00001,ADV-017,CLI-013,2025-12-15T09:31:00Z,BRK.B,cover,False,complete
STR-00002,ADV-020,CLI-028,2025-12-15T09:33:00Z,SPY,cover,True,pending
STR-00003,ADV-014,CLI-028,2025-12-15T09:36:00Z,AAPL,short_sell,False,pending
STR-00004,ADV-021,CLI-010,2025-12-15T09:40:00Z,V,buy,True,complete
STR-00005,ADV-003,CLI-031,2025-12-15T09:43:00Z,AMZN,sell,True,overdue
STR-00006,ADV-017,CLI-028,2025-12-15T09:46:00Z,UNH,buy,True,partial
STR-00007,ADV-017,CLI-007,2025-12-15T09:50:00Z,GS,cover,True,complete
STR-00008,ADV-024,CLI-037,2025-12-15T09:52:00Z,BAC,short_sell,True,pending
STR-00009,ADV-001,CLI-008,2025-12-15T09:56:00Z,AGG,cover,True,pending
STR-00010,ADV-013,CLI-003,2025-12-15T09:57:00Z,GS,short_sell,True,pending
STR-00011,ADV-015,CLI-029,2025-12-15T10:02:00Z,SPY,short_sell,True,partial
STR-00012,ADV-006,CLI-014,2025-12-15T10:03:00Z,MSFT,short_sell,True,complete
STR-00013,ADV-001,CLI-001,2025-12-15T10:07:00Z,MSFT,buy,True,pending
STR-00014,ADV-015,CLI-026,2025-12-15T10:11:00Z,BND,cover,True,pending
STR-00015,ADV-020,CLI-024,2025-12-15T10:14:00Z,AGG,cover,True,complete
STR-00016,ADV-005,CLI-001,2025-12-15T10:15:00Z,MSFT,buy,True,overdue
STR-00017,ADV-007,CLI-031,2025-12-15T10:20:00Z,AMZN,sell,False,overdue
STR-00018,ADV-018,CLI-013,2025-12-15T10:21:00Z,JPM,cover,True,complete
STR-00019,ADV-001,CLI-008,2025-12-15T10:24:00Z,IWM,sell,False,partial
STR-00020,ADV-016,CLI-002,2025-12-15T10:28:00Z,UNH,sell,True,complete
STR-00021,ADV-013,CLI-004,2025-12-15T10:31:00Z,AAPL,buy,False,partial
STR-00022,ADV-016,CLI-038,2025-12-15T10:35:00Z,BND,short_sell,True,complete
STR-00023,ADV-016,CLI-033,2025-12-15T10:38:00Z,BND,cover,True,pending
STR-00024,ADV-017,CLI-002,2025-12-15T10:40:00Z,UNH,short_sell,True,complete
STR-00025,ADV-021,CLI-027,2025-12-15T10:43:00Z,MSFT,cover,True,complete
