log_id,supervisor_id,project_id,date,weather,crew_count,work_summary,doc_time_min,photos_attached,safety_incidents
LOG-0001,SUP-001,PRJ-001,2026-02-24,Clear,142,Steel erection floors 24-25; crane operations,98,18,0
LOG-0002,SUP-002,PRJ-001,2026-02-24,Clear,142,MEP rough-in levels 16-18; fire protection install,82,12,0
LOG-0003,SUP-003,PRJ-002,2026-02-24,Partly Cloudy,168,Foundation waterproofing wing C; rebar placement,88,15,0
LOG-0004,SUP-004,PRJ-002,2026-02-24,Partly Cloudy,168,Structural steel erection south wing; concrete deck pour level 4,95,22,0
LOG-0005,SUP-005,PRJ-003,2026-02-24,Clear,98,Curtainwall installation east facade panels 40-55,72,14,0
LOG-0006,SUP-009,PRJ-004,2026-02-24,Overcast,85,Interior framing units 301-312; plumbing rough-in,68,8,0
LOG-0007,SUP-011,PRJ-005,2026-02-24,Rain,112,Underground utilities sector C; storm drainage,78,10,1
LOG-0008,SUP-013,PRJ-006,2026-02-24,Clear,62,Slab-on-grade pour warehouse section 3,65,16,0
LOG-0009,SUP-019,PRJ-009,2026-02-24,Overcast,125,Electrical rough-in data hall 2; generator pad pour,105,20,0
LOG-0010,SUP-025,PRJ-012,2026-02-24,Partly Cloudy,78,Structural framing wing B; elevator shaft forms,75,11,0
LOG-0011,SUP-001,PRJ-001,2026-02-25,Partly Cloudy,145,Poured level 22 deck; post-tension stressing,102,24,0
LOG-0012,SUP-002,PRJ-001,2026-02-25,Partly Cloudy,145,Electrical conduit levels 14-16; ductwork install,85,10,0
LOG-0013,SUP-003,PRJ-002,2026-02-25,Rain,155,Interior wall framing wing A level 3; overhead MEP,92,13,0
LOG-0014,SUP-005,PRJ-003,2026-02-25,Clear,102,Server room raised floor installation; HVAC duct,70,9,0
LOG-0015,SUP-008,PRJ-004,2026-02-25,Overcast,82,Exterior sheathing south elevation; window install,62,11,0
LOG-0016,SUP-015,PRJ-007,2026-02-25,Clear,55,Gymnasium steel erection; roof deck welding,78,15,0
LOG-0017,SUP-016,PRJ-007,2026-02-25,Clear,55,Underground plumbing rough-in; slab prep gym wing,65,8,0
LOG-0018,SUP-019,PRJ-009,2026-02-25,Clear,128,Cooling tower foundation; chiller pad rebar,108,19,0
LOG-0019,SUP-023,PRJ-011,2026-02-25,Rain,28,Historic facade restoration east wall; pointing,52,12,0
LOG-0020,SUP-021,PRJ-010,2026-02-25,Clear,22,Solar panel racking installation rows 15-28,48,7,0
LOG-0021,SUP-001,PRJ-001,2026-02-26,Clear,148,Curtainwall framework floors 18-20; steel continues,95,16,0
LOG-0022,SUP-004,PRJ-002,2026-02-26,Clear,172,Concrete pour level 5 deck; shoring removal level 3,98,25,1
LOG-0023,SUP-006,PRJ-003,2026-02-26,Overcast,95,Data cabling runs building B; access flooring,74,8,0
LOG-0024,SUP-009,PRJ-004,2026-02-26,Clear,88,Roofing membrane installation building A; flashing,72,14,0
LOG-0025,SUP-010,PRJ-005,2026-02-26,Partly Cloudy,115,Platform structural steel; rail alignment,68,10,0
