alert_id,advisor_id,client_id,timestamp,alert_type,severity,action_taken,response_time_min
ALR-0001,ADV-015,CLI-012,2025-12-30T10:10:00Z,suitability_mismatch,low,SAR_filed,177
ALR-0002,ADV-015,CLI-017,2025-11-17T10:13:00Z,AML_flag,high,SAR_filed,67
ALR-0003,ADV-018,CLI-011,2025-12-08T12:07:00Z,AML_flag,medium,escalated_to_compliance,23
ALR-0004,ADV-011,CLI-010,2025-10-01T16:32:00Z,large_currency_txn,high,SAR_filed,65
ALR-0005,ADV-025,CLI-037,2025-12-25T10:51:00Z,PEP_alert,medium,investigated,66
ALR-0006,ADV-005,CLI-036,2025-10-15T12:01:00Z,unusual_wire,high,dismissed,62
ALR-0007,ADV-011,CLI-004,2025-12-17T11:37:00Z,suitability_mismatch,high,SAR_filed,30
ALR-0008,ADV-015,CLI-035,2025-11-27T09:32:00Z,unusual_wire,low,SAR_filed,160
ALR-0009,ADV-022,CLI-024,2025-11-20T10:45:00Z,unusual_wire,medium,SAR_filed,6
ALR-0010,ADV-015,CLI-023,2025-11-09T15:55:00Z,SAR_trigger,low,escalated_to_compliance,136
ALR-0011,ADV-010,CLI-011,2025-11-24T14:08:00Z,SAR_trigger,low,SAR_filed,65
ALR-0012,ADV-017,CLI-022,2025-10-09T17:48:00Z,unusual_wire,low,escalated_to_compliance,86
ALR-0013,ADV-014,CLI-012,2025-12-11T15:45:00Z,concentration_limit,low,escalated_to_compliance,42
ALR-0014,ADV-002,CLI-020,2025-12-14T12:31:00Z,PEP_alert,low,investigated,24
ALR-0015,ADV-015,CLI-031,2025-10-16T12:26:00Z,concentration_limit,medium,pending_review,92
ALR-0016,ADV-015,CLI-018,2025-12-03T09:38:00Z,large_currency_txn,medium,account_frozen,141
ALR-0017,ADV-021,CLI-031,2025-12-28T09:23:00Z,AML_flag,high,dismissed,79
ALR-0018,ADV-015,CLI-021,2025-11-29T10:22:00Z,concentration_limit,low,SAR_filed,137
ALR-0019,ADV-012,CLI-004,2025-11-07T12:33:00Z,SAR_trigger,medium,pending_review,28
ALR-0020,ADV-020,CLI-011,2025-12-09T13:55:00Z,large_currency_txn,high,pending_review,43
ALR-0021,ADV-015,CLI-024,2025-10-13T16:37:00Z,large_currency_txn,high,investigated,65
ALR-0022,ADV-012,CLI-032,2025-11-22T13:58:00Z,concentration_limit,low,dismissed,69
ALR-0023,ADV-015,CLI-013,2025-12-11T17:44:00Z,SAR_trigger,medium,investigated,59
ALR-0024,ADV-001,CLI-031,2025-11-14T12:44:00Z,large_currency_txn,low,escalated_to_compliance,81
ALR-0025,ADV-011,CLI-012,2025-12-30T12:01:00Z,SAR_trigger,low,pending_review,23
ALR-0026,ADV-010,CLI-009,2025-10-27T10:05:00Z,unusual_wire,high,investigated,14
ALR-0027,ADV-015,CLI-031,2025-11-25T08:12:00Z,SAR_trigger,low,pending_review,161
ALR-0028,ADV-016,CLI-008,2025-11-02T08:04:00Z,sanctions_hit,high,investigated,20
ALR-0029,ADV-007,CLI-038,2025-10-26T10:42:00Z,large_currency_txn,low,dismissed,40
ALR-0030,ADV-012,CLI-023,2025-10-21T16:49:00Z,suitability_mismatch,medium,investigated,17
ALR-0031,ADV-025,CLI-001,2025-12-07T11:45:00Z,suitability_mismatch,critical,dismissed,73
ALR-0032,ADV-015,CLI-007,2025-10-28T16:54:00Z,PEP_alert,medium,account_frozen,77
ALR-0033,ADV-004,CLI-012,2025-11-15T14:27:00Z,suitability_mismatch,medium,escalated_to_compliance,19
ALR-0034,ADV-011,CLI-008,2025-11-29T09:33:00Z,concentration_limit,medium,SAR_filed,41
ALR-0035,ADV-002,CLI-006,2025-11-11T15:07:00Z,unusual_wire,medium,account_frozen,44
ALR-0036,ADV-015,CLI-015,2025-12-10T14:18:00Z,unusual_wire,low,investigated,151
ALR-0037,ADV-012,CLI-012,2025-10-02T15:43:00Z,SAR_trigger,medium,account_frozen,89
ALR-0038,ADV-004,CLI-010,2025-11-20T14:44:00Z,SAR_trigger,high,dismissed,13
ALR-0039,ADV-007,CLI-022,2025-10-26T17:54:00Z,unusual_wire,low,escalated_to_compliance,68
ALR-0040,ADV-015,CLI-038,2025-12-15T12:48:00Z,unusual_wire,medium,pending_review,133
ALR-0041,ADV-017,CLI-018,2025-10-19T15:06:00Z,SAR_trigger,medium,escalated_to_compliance,34
ALR-0042,ADV-005,CLI-002,2025-10-13T08:53:00Z,SAR_trigger,medium,investigated,27
ALR-0043,ADV-022,CLI-021,2025-10-20T12:39:00Z,SAR_trigger,high,pending_review,71
ALR-0044,ADV-015,CLI-013,2025-11-07T15:31:00Z,sanctions_hit,medium,account_frozen,169
ALR-0045,ADV-015,CLI-003,2025-11-25T09:24:00Z,PEP_alert,medium,escalated_to_compliance,143
