survey_id,engineer_id,survey_date,on_call_fatigue_score,ticket_stress_score,admin_burden_score,overtime_hours,sleep_quality_score,job_satisfaction_score,burnout_risk
WS-001,ENG-001,2026-03-01,6,5,7,8,6,7,Medium
WS-002,ENG-002,2026-03-01,4,4,6,4,7,8,Low
WS-003,ENG-003,2026-03-01,7,7,8,12,5,5,High
WS-004,ENG-004,2026-03-01,5,6,7,6,6,7,Medium
WS-005,ENG-005,2026-03-01,8,8,9,15,4,4,High
WS-006,ENG-006,2026-03-01,7,7,8,10,5,5,High
WS-007,ENG-007,2026-03-01,6,5,6,8,6,7,Medium
WS-008,ENG-008,2026-03-01,5,6,7,7,6,6,Medium
WS-009,ENG-009,2026-03-01,7,6,7,11,5,6,High
WS-010,ENG-010,2026-03-01,6,5,6,6,7,7,Medium
WS-011,ENG-011,2026-03-01,4,5,6,5,7,7,Low
WS-012,ENG-012,2026-03-01,8,9,9,14,4,4,High
WS-013,ENG-013,2026-03-01,9,8,9,16,3,3,High
WS-014,ENG-014,2026-03-01,5,5,7,6,6,7,Medium
WS-015,ENG-015,2026-03-01,6,6,6,9,6,6,Medium
WS-016,ENG-016,2026-03-01,4,4,5,4,8,8,Low
WS-017,ENG-017,2026-03-01,3,3,8,5,7,7,Medium
WS-018,ENG-018,2026-03-01,7,7,8,11,5,5,High
WS-019,ENG-019,2026-03-01,5,4,5,6,7,8,Low
WS-020,ENG-020,2026-03-01,4,4,5,4,8,8,Low
WS-021,ENG-021,2026-03-01,6,6,7,8,6,6,Medium
WS-022,ENG-022,2026-03-01,5,6,7,7,6,6,Medium
WS-023,ENG-023,2026-03-01,7,7,7,10,5,6,High
WS-024,ENG-024,2026-03-01,3,4,9,5,7,6,Medium
WS-025,ENG-025,2026-03-01,5,5,6,5,7,7,Low
WS-026,ENG-026,2026-03-01,7,8,8,12,4,5,High
WS-027,ENG-027,2026-03-01,5,4,5,5,7,8,Low
WS-028,ENG-028,2026-03-01,4,4,6,4,8,8,Low
WS-029,ENG-029,2026-03-01,8,7,8,13,4,5,High
WS-030,ENG-030,2026-03-01,6,6,7,9,5,6,Medium
