alarm_id,equipment_id,timestamp,alarm_type,severity,site_id,cleared_flag
ALM-5001,EQ-003,2026-03-10T00:02:14.321Z,Link Down,Critical,SITE-CO-001,No
ALM-5002,EQ-007,2026-03-10T00:02:14.450Z,High CPU,Major,SITE-CT-005,No
ALM-5003,EQ-012,2026-03-10T00:02:15.102Z,BGP Peer Loss,Critical,SITE-HS-002,No
ALM-5004,EQ-019,2026-03-10T00:02:15.889Z,Power Supply Fault,Major,SITE-CO-002,No
ALM-5005,EQ-025,2026-03-10T00:02:16.234Z,High Temperature,Minor,SITE-CT-007,No
ALM-5006,EQ-031,2026-03-10T00:02:16.890Z,Interface Flap,Major,SITE-HS-004,No
ALM-5007,EQ-003,2026-03-10T00:02:17.120Z,Link Down,Critical,SITE-CO-001,No
ALM-5008,EQ-038,2026-03-10T00:02:17.550Z,Memory Threshold,Minor,SITE-CO-003,No
ALM-5009,EQ-042,2026-03-10T00:02:18.001Z,Fiber Degradation,Major,SITE-UV-003,No
ALM-5010,EQ-048,2026-03-10T00:02:18.345Z,Signal Loss,Critical,SITE-AP-010,No
ALM-5011,EQ-005,2026-03-10T00:02:19.102Z,High Latency,Minor,SITE-CB-012,No
ALM-5012,EQ-011,2026-03-10T00:02:19.567Z,Packet Loss,Major,SITE-HS-002,No
ALM-5013,EQ-003,2026-03-10T00:02:20.230Z,Link Down,Critical,SITE-CO-001,Yes
ALM-5014,EQ-018,2026-03-10T00:02:20.780Z,Config Change,Minor,SITE-CO-002,No
ALM-5015,EQ-024,2026-03-10T00:02:21.102Z,Fan Failure,Major,SITE-CT-007,No
ALM-5016,EQ-030,2026-03-10T00:02:21.560Z,OSPF Neighbor Loss,Critical,SITE-HS-004,No
ALM-5017,EQ-036,2026-03-10T00:02:22.001Z,High Jitter,Minor,SITE-CO-003,No
ALM-5018,EQ-041,2026-03-10T00:02:22.450Z,CRC Errors,Major,SITE-UV-003,No
ALM-5019,EQ-047,2026-03-10T00:02:23.102Z,Power Grid Alert,Major,SITE-AP-010,No
ALM-5020,EQ-002,2026-03-10T00:02:23.567Z,DDoS Detected,Critical,SITE-CO-001,No
ALM-5021,EQ-007,2026-03-10T00:02:24.001Z,High CPU,Major,SITE-CT-005,Yes
ALM-5022,EQ-013,2026-03-10T00:02:24.450Z,Port Security Violation,Critical,SITE-HS-002,No
ALM-5023,EQ-020,2026-03-10T00:02:25.102Z,UPS Battery Low,Major,SITE-CO-002,No
ALM-5024,EQ-026,2026-03-10T00:02:25.560Z,Link Degradation,Minor,SITE-CT-007,No
ALM-5025,EQ-032,2026-03-10T00:02:26.001Z,Environmental Alarm,Minor,SITE-HS-004,No
ALM-5026,EQ-037,2026-03-10T00:02:26.450Z,MPLS LSP Down,Critical,SITE-CO-003,No
ALM-5027,EQ-043,2026-03-10T00:02:27.102Z,OTDR Threshold,Major,SITE-UV-003,No
ALM-5028,EQ-049,2026-03-10T00:02:27.560Z,RF Interference,Major,SITE-AP-010,No
ALM-5029,EQ-004,2026-03-10T00:02:28.001Z,STP Topology Change,Minor,SITE-CO-001,No
ALM-5030,EQ-010,2026-03-10T00:02:28.450Z,RADIUS Auth Failure,Major,SITE-HS-002,No
ALM-5031,EQ-016,2026-03-10T00:02:29.102Z,NTP Sync Loss,Minor,SITE-CO-002,No
ALM-5032,EQ-022,2026-03-10T00:02:29.560Z,VLAN Mismatch,Minor,SITE-CT-007,No
ALM-5033,EQ-028,2026-03-10T00:02:30.001Z,Trunk Utilization High,Major,SITE-HS-004,No
ALM-5034,EQ-034,2026-03-10T00:02:30.450Z,DNS Resolution Failure,Major,SITE-CO-003,No
ALM-5035,EQ-040,2026-03-10T00:02:31.102Z,Fiber Cut Detected,Critical,SITE-UV-003,No
ALM-5036,EQ-046,2026-03-10T00:02:31.560Z,Antenna Misalignment,Major,SITE-AP-010,No
