handoff_id,project_id,from_trade,to_trade,timestamp,punch_list_items,doc_time_min,approved
HO-001,PRJ-001,Foundation/Piles,Structural Steel,2026-02-24T16:00:00,8,65,true
HO-002,PRJ-001,Structural Steel,Curtainwall/Glazing,2026-03-02T15:30:00,12,78,true
HO-003,PRJ-001,Concrete,Mechanical/HVAC,2026-03-06T16:00:00,6,52,true
HO-004,PRJ-002,Foundation/Piles,Concrete,2026-02-25T15:00:00,10,72,true
HO-005,PRJ-002,Concrete,Structural Steel,2026-03-03T16:30:00,14,85,true
HO-006,PRJ-002,Mechanical/HVAC,Fire Protection,2026-03-09T15:00:00,9,68,false
HO-007,PRJ-003,Structural Steel,Curtainwall/Glazing,2026-02-26T16:00:00,5,45,true
HO-008,PRJ-003,Electrical,Data/Low Voltage,2026-03-04T15:30:00,7,55,true
HO-009,PRJ-003,Drywall/Framing,Painting,2026-03-10T16:00:00,4,38,true
HO-010,PRJ-004,Concrete,Structural Steel,2026-02-27T15:00:00,6,48,true
HO-011,PRJ-004,Plumbing,Mechanical/HVAC,2026-03-05T16:30:00,8,58,true
HO-012,PRJ-004,Drywall/Framing,Flooring,2026-03-11T15:00:00,3,35,true
HO-013,PRJ-005,Foundation/Piles,Concrete,2026-02-26T16:00:00,11,75,true
HO-014,PRJ-005,Structural Steel,Electrical,2026-03-04T15:30:00,9,62,true
HO-015,PRJ-006,Concrete,Structural Steel,2026-02-28T16:00:00,5,42,true
HO-016,PRJ-006,Structural Steel,Roofing,2026-03-06T15:00:00,7,55,true
HO-017,PRJ-007,Concrete,Structural Steel,2026-02-25T16:30:00,6,48,true
HO-018,PRJ-007,Mechanical/HVAC,Plumbing,2026-03-05T15:00:00,8,58,true
HO-019,PRJ-008,Foundation/Piles,Concrete,2026-02-27T16:00:00,7,52,true
HO-020,PRJ-008,Structural Steel,Mechanical/HVAC,2026-03-06T15:30:00,10,68,false
HO-021,PRJ-009,Concrete,Electrical,2026-02-28T16:00:00,13,82,true
HO-022,PRJ-009,Electrical,Data/Low Voltage,2026-03-07T15:00:00,15,92,true
HO-023,PRJ-010,Sitework,Electrical,2026-03-03T16:30:00,4,35,true
HO-024,PRJ-011,Demolition,Masonry,2026-02-26T15:00:00,9,65,true
HO-025,PRJ-012,Concrete,Structural Steel,2026-02-28T16:00:00,6,48,true
