ticket_id,engineer_id,area_id,ticket_date,ticket_type_id,priority,open_time,close_time,doc_time_min,resolution_code,escalation_count,segment_id,equipment_id,customers_affected,notes
TKT-0001,ENG-001,SA-001,2026-02-23,TT-008,P3,2026-02-23T08:15:00,2026-02-23T12:30:00,35,Speed Issue Resolved,0,SEG-003,EQ-005,1,Customer speed complaint. Ran diagnostics - ONT firmware outdated. Pushed update remotely.
TKT-0002,ENG-003,SA-001,2026-02-23,TT-002,P2,2026-02-23T09:00:00,2026-02-23T13:45:00,55,Hardware Replaced,1,SEG-002,EQ-003,420,Aggregation switch line card failure. Replaced module. Full service restore.
TKT-0003,ENG-002,SA-002,2026-02-23,TT-005,P3,2026-02-23T10:30:00,2026-02-23T12:00:00,20,Config Corrected,0,SEG-003,EQ-006,8,VLAN misconfiguration on ONT port. Corrected via CLI.
TKT-0004,ENG-004,SA-003,2026-02-23,TT-001,P1,2026-02-23T06:45:00,2026-02-23T14:30:00,75,Fiber Repaired,2,SEG-006,EQ-013,2800,Major fiber cut on SE trunk. Emergency splice team dispatched. 7h45m TTR.
TKT-0005,ENG-011,SA-003,2026-02-23,TT-009,P2,2026-02-23T11:00:00,2026-02-23T14:00:00,30,Outage Verified,0,SEG-005,EQ-011,15,Customer reported intermittent drops. Confirmed flapping port. Replaced SFP.
TKT-0006,ENG-005,SA-001,2026-02-23,TT-004,P2,2026-02-23T07:30:00,2026-02-24T09:00:00,65,Patch Applied,1,SEG-001,EQ-001,0,BGP memory leak in core router. Applied vendor hotfix after lab validation.
TKT-0007,ENG-012,SA-006,2026-02-23,TT-006,P2,2026-02-23T14:00:00,2026-02-24T10:00:00,50,Capacity Augmented,0,SEG-008,EQ-018,340,Aggregation link saturation at 92%. Added LAG member to ring.
TKT-0008,ENG-016,SA-006,2026-02-23,TT-008,P3,2026-02-23T15:30:00,2026-02-23T17:00:00,25,Speed Issue Resolved,0,SEG-009,EQ-019,1,Residential speed complaint. Splitter issue at drop. Scheduled tech visit.
TKT-0009,ENG-007,SA-001,2026-02-24,TT-014,P4,2026-02-24T08:00:00,2026-02-24T12:00:00,40,PM Complete,0,SEG-003,EQ-005,0,Quarterly OLT preventive maintenance. Cleaned optics, verified power levels.
TKT-0010,ENG-009,SA-007,2026-02-24,TT-001,P2,2026-02-24T05:20:00,2026-02-24T11:00:00,60,Fiber Repaired,1,SEG-009,EQ-019,950,Fiber cut by construction crew. Emergency repair dispatched. 5h40m TTR.
TKT-0011,ENG-013,SA-009,2026-02-24,TT-002,P1,2026-02-24T03:15:00,2026-02-24T07:30:00,70,Hardware Replaced,2,SEG-010,EQ-022,5200,Core router supervisor failure. Failover to standby. Replaced module.
TKT-0012,ENG-014,SA-009,2026-02-24,TT-012,P3,2026-02-24T22:00:00,2026-02-25T02:00:00,45,Firmware Updated,0,SEG-011,EQ-024,0,Scheduled firmware upgrade on aggregation switch. Maintenance window.
TKT-0013,ENG-020,SA-010,2026-02-24,TT-008,P4,2026-02-24T09:45:00,2026-02-24T11:15:00,20,Speed Issue Resolved,0,SEG-012,EQ-027,1,Business customer WiFi issues. ONT reset resolved.
TKT-0014,ENG-006,SA-004,2026-02-24,TT-003,P1,2026-02-24T16:00:00,2026-02-25T04:00:00,80,Power Restored,2,SEG-005,EQ-012,3600,Commercial power outage at hub site. Generator failure. Portable generator deployed.
TKT-0015,ENG-008,SA-005,2026-02-24,TT-010,P3,2026-02-24T10:00:00,2026-02-27T16:00:00,90,Circuit Provisioned,0,SEG-006,EQ-014,0,New 10G circuit for enterprise customer. Survey, design, install complete.
TKT-0016,ENG-017,SA-001,2026-02-25,TT-016,P2,2026-02-25T08:00:00,2026-02-28T17:00:00,240,RCA Complete,0,SEG-001,EQ-001,5200,Root cause analysis for Feb 24 core router failure. Full timeline & corrective actions.
TKT-0017,ENG-003,SA-002,2026-02-25,TT-011,P3,2026-02-25T22:00:00,2026-02-26T04:00:00,55,Circuit Upgraded,0,SEG-002,EQ-004,0,Enterprise circuit upgrade 1G→10G. Scheduled maintenance window.
TKT-0018,ENG-001,SA-001,2026-02-25,TT-009,P3,2026-02-25T11:30:00,2026-02-25T14:00:00,30,Issue Resolved,0,SEG-003,EQ-006,3,Multiple customers reporting drops. Found degraded splitter. Replaced.
TKT-0019,ENG-018,SA-004,2026-02-25,TT-007,P1,2026-02-25T02:15:00,2026-02-25T06:00:00,85,Breach Contained,2,SEG-005,EQ-011,0,DDoS attack on enterprise customer link. Applied ACLs and contacted DDoS mitigation.
TKT-0020,ENG-022,SA-009,2026-02-25,TT-004,P3,2026-02-25T13:00:00,2026-02-26T10:00:00,40,Workaround Applied,0,SEG-011,EQ-024,0,OSPF adjacency flapping. Applied route dampening as workaround pending vendor patch.
TKT-0021,ENG-010,SA-008,2026-02-25,TT-001,P2,2026-02-25T07:00:00,2026-02-25T15:30:00,65,Fiber Repaired,1,SEG-009,EQ-020,1200,Aerial fiber damage from ice storm. Splicing crew dispatched.
TKT-0022,ENG-024,SA-001,2026-02-25,TT-017,P3,2026-02-25T09:00:00,2026-03-04T17:00:00,180,Investigation Complete,0,SEG-002,EQ-003,420,Recurring aggregation switch failures. Identified thermal issue in HVAC. Remediated.
TKT-0023,ENG-004,SA-003,2026-02-26,TT-013,P3,2026-02-26T01:00:00,2026-02-26T05:00:00,35,Maintenance Complete,0,SEG-004,EQ-009,0,Quarterly core router maintenance. IOS upgrade during maintenance window.
TKT-0024,ENG-011,SA-005,2026-02-26,TT-008,P4,2026-02-26T10:00:00,2026-02-26T11:30:00,20,Speed Issue Resolved,0,SEG-006,EQ-014,1,Residential speed test below tier. Re-provisioned ONT profile.
TKT-0025,ENG-019,SA-001,2026-02-26,TT-014,P4,2026-02-26T08:00:00,2026-02-26T16:00:00,50,PM Complete,0,SEG-003,EQ-007,0,5G cell site PM. Antenna alignment check, power calibration, sector test.
TKT-0026,ENG-026,SA-006,2026-02-26,TT-002,P2,2026-02-26T04:30:00,2026-02-26T10:00:00,55,Hardware Replaced,1,SEG-008,EQ-018,680,Aggregation switch SFP failure. Replaced optic. Link restored.
TKT-0027,ENG-005,SA-001,2026-02-26,TT-018,P2,2026-02-26T12:00:00,2026-02-28T12:00:00,70,Vendor Resolved,1,SEG-001,EQ-002,0,Juniper JTAC case opened for memory leak. Vendor provided hotfix.
TKT-0028,ENG-029,SA-004,2026-02-26,TT-006,P2,2026-02-26T14:00:00,2026-02-27T18:00:00,60,Capacity Augmented,0,SEG-005,EQ-012,520,Metro ring at 88% utilization. Deployed additional 100G wavelength.
TKT-0029,ENG-023,SA-008,2026-02-27,TT-001,P2,2026-02-27T09:30:00,2026-02-27T16:00:00,55,Fiber Repaired,1,SEG-009,EQ-020,780,Fiber cut in conduit. Located fault via OTDR. Splice repair completed.
TKT-0030,ENG-015,SA-011,2026-02-27,TT-002,P3,2026-02-27T11:00:00,2026-02-27T15:00:00,40,Hardware Replaced,0,SEG-012,EQ-028,150,5G radio unit degraded. Replaced RU at cell site.
TKT-0031,ENG-002,SA-001,2026-02-27,TT-005,P3,2026-02-27T08:30:00,2026-02-27T10:00:00,15,Config Corrected,0,SEG-003,EQ-006,4,QoS policy not applied correctly. Updated service profile.
TKT-0032,ENG-028,SA-001,2026-02-27,TT-009,P3,2026-02-27T13:00:00,2026-02-27T15:30:00,25,Issue Resolved,0,SEG-003,EQ-005,2,Customer reporting jitter on VoIP. Identified upstream congestion. Applied traffic shaping.
TKT-0033,ENG-006,SA-003,2026-02-27,TT-015,P1,2026-02-27T22:00:00,2026-02-28T02:00:00,45,Emergency Maintenance Complete,1,SEG-004,EQ-010,0,Emergency firmware patch for security vulnerability. Coordinated with vendor.
TKT-0034,ENG-030,SA-010,2026-02-27,TT-012,P3,2026-02-27T23:00:00,2026-02-28T03:00:00,40,Firmware Updated,0,SEG-011,EQ-025,0,Scheduled firmware upgrade on aggregation switch. Clean upgrade.
TKT-0035,ENG-012,SA-006,2026-02-28,TT-007,P1,2026-02-28T01:00:00,2026-02-28T05:30:00,75,Breach Contained,2,SEG-008,EQ-049,0,Ransomware attempt detected on customer VPN tunnel. Isolated and blocked. Forensics initiated.
TKT-0036,ENG-013,SA-009,2026-02-28,TT-003,P1,2026-02-28T06:00:00,2026-02-28T14:00:00,70,Power Restored,2,SEG-010,EQ-022,4800,Utility power failure and generator ATS malfunction. Manual switchover. Battery bridge held.
TKT-0037,ENG-016,SA-007,2026-02-28,TT-008,P4,2026-02-28T09:00:00,2026-02-28T10:30:00,20,Speed Issue Resolved,0,SEG-009,EQ-019,1,Customer speed issue. Found split fiber at drop. Replaced connector.
TKT-0038,ENG-021,SA-004,2026-02-28,TT-014,P4,2026-02-28T08:00:00,2026-02-28T12:00:00,35,PM Complete,0,SEG-006,EQ-016,0,Quarterly cell site PM. Antenna tilt adjustment, power check, backhaul test.
TKT-0039,ENG-009,SA-007,2026-02-28,TT-010,P3,2026-02-28T10:00:00,2026-03-03T16:00:00,85,Circuit Provisioned,0,SEG-009,EQ-019,0,New GPON service install. Drop fiber, ONT install, service activation.
TKT-0040,ENG-017,SA-015,2026-02-28,TT-016,P2,2026-02-28T08:00:00,2026-03-05T17:00:00,220,RCA Complete,0,SEG-001,EQ-034,0,RCA for Feb 28 security incident. Full forensic analysis and remediation plan.
TKT-0041,ENG-014,SA-010,2026-03-01,TT-011,P3,2026-03-01T22:00:00,2026-03-02T04:00:00,50,Circuit Upgraded,0,SEG-012,EQ-025,0,Enterprise bandwidth upgrade 10G→40G. Optics swap and config update.
TKT-0042,ENG-001,SA-015,2026-03-01,TT-002,P2,2026-03-01T11:00:00,2026-03-01T16:30:00,50,Hardware Replaced,1,SEG-002,EQ-004,290,Line card failure on aggregation switch. Redundancy held. Replaced during shift.
TKT-0043,ENG-027,SA-012,2026-03-01,TT-008,P3,2026-03-01T14:00:00,2026-03-01T16:00:00,25,Speed Issue Resolved,0,SEG-012,EQ-027,1,Business customer slow speeds. Replaced degraded ONT.
TKT-0044,ENG-007,SA-001,2026-03-01,TT-001,P2,2026-03-01T17:30:00,2026-03-02T01:00:00,60,Fiber Repaired,1,SEG-003,EQ-006,540,Fiber break in underground conduit. Emergency dig-up and splice.
TKT-0045,ENG-004,SA-003,2026-03-01,TT-005,P4,2026-03-01T09:00:00,2026-03-01T10:30:00,15,Config Corrected,0,SEG-005,EQ-011,5,DHCP scope exhaustion on aggregation VLAN. Expanded subnet.
TKT-0046,ENG-025,SA-004,2026-03-02,TT-009,P3,2026-03-02T08:00:00,2026-03-02T11:00:00,30,Issue Resolved,0,SEG-006,EQ-013,12,Multiple customer complaints. Identified failing splitter in cabinet. Replaced.
TKT-0047,ENG-018,SA-013,2026-03-02,TT-006,P2,2026-03-02T13:00:00,2026-03-03T17:00:00,55,Capacity Augmented,0,SEG-005,EQ-012,0,Backhaul capacity upgrade for new 5G cell sites. Added 100G ring member.
TKT-0048,ENG-010,SA-008,2026-03-02,TT-014,P4,2026-03-02T08:00:00,2026-03-02T16:00:00,45,PM Complete,0,SEG-009,EQ-020,0,Quarterly OLT maintenance. Cleaned optics, verified alarms, tested failover.
