equipment_id,name,type,well_id,install_date,last_maintenance,criticality
EQ-001,BOP A-1,BOP,WELL-001,2021-02-09,2024-02-09,critical
EQ-002,Mud Pump B-2,Mud Pump,WELL-002,2022-10-10,2024-03-16,high
EQ-003,Top Drive C-3,Top Drive,WELL-003,2022-08-14,2024-01-15,medium
EQ-004,Drawworks D-4,Drawworks,WELL-004,2020-10-18,2024-01-16,low
EQ-005,Separator A-5,Separator,WELL-005,2022-01-29,2024-01-15,critical
EQ-006,Compressor B-6,Compressor,WELL-006,2023-07-23,2024-05-29,high
EQ-007,Wellhead C-7,Wellhead,WELL-007,2021-03-01,2024-05-08,medium
EQ-008,Christmas Tree D-8,Christmas Tree,WELL-008,2020-11-10,2024-02-10,low
EQ-009,ESP A-9,ESP,WELL-009,2023-07-09,2024-05-10,critical
EQ-010,Rod Pump B-10,Rod Pump,WELL-010,2023-05-22,2024-02-17,high
EQ-011,SCADA RTU C-11,SCADA RTU,WELL-011,2023-06-15,2024-01-18,medium
EQ-012,Flow Meter D-12,Flow Meter,WELL-012,2022-07-09,2024-04-13,low
EQ-013,BOP A-13,BOP,WELL-013,2023-03-02,2024-05-25,critical
EQ-014,Mud Pump B-14,Mud Pump,WELL-014,2022-06-16,2024-05-28,high
EQ-015,Top Drive C-15,Top Drive,WELL-015,2023-08-13,2024-01-21,medium
EQ-016,Drawworks D-16,Drawworks,WELL-016,2021-06-27,2024-05-29,low
EQ-017,Separator A-17,Separator,WELL-017,2020-11-27,2024-03-21,critical
EQ-018,Compressor B-18,Compressor,WELL-018,2022-05-17,2024-02-22,high
EQ-019,Wellhead C-19,Wellhead,WELL-019,2022-01-28,2024-03-02,medium
EQ-020,Christmas Tree D-20,Christmas Tree,WELL-020,2022-05-08,2024-04-11,low
EQ-021,ESP A-21,ESP,WELL-001,2023-02-07,2024-03-17,critical
EQ-022,Rod Pump B-22,Rod Pump,WELL-002,2021-04-10,2024-03-21,high
EQ-023,SCADA RTU C-23,SCADA RTU,WELL-003,2023-06-07,2024-01-03,medium
EQ-024,Flow Meter D-24,Flow Meter,WELL-004,2021-04-08,2024-05-24,low
EQ-025,BOP A-25,BOP,WELL-005,2023-04-12,2024-01-19,critical
EQ-026,Mud Pump B-26,Mud Pump,WELL-006,2020-10-27,2024-02-24,high
EQ-027,Top Drive C-27,Top Drive,WELL-007,2020-12-31,2024-03-08,medium
EQ-028,Drawworks D-28,Drawworks,WELL-008,2023-02-04,2024-03-30,low
EQ-029,Separator A-29,Separator,WELL-009,2023-06-15,2024-03-03,critical
EQ-030,Compressor B-30,Compressor,WELL-010,2021-10-07,2024-03-13,high
EQ-031,Wellhead C-31,Wellhead,WELL-011,2022-12-14,2024-04-22,medium
EQ-032,Christmas Tree D-32,Christmas Tree,WELL-012,2020-10-16,2024-03-18,low
EQ-033,ESP A-33,ESP,WELL-013,2020-11-14,2024-01-03,critical
EQ-034,Rod Pump B-34,Rod Pump,WELL-014,2020-09-23,2024-03-17,high
EQ-035,SCADA RTU C-35,SCADA RTU,WELL-015,2023-04-04,2024-02-04,medium
EQ-036,Flow Meter D-36,Flow Meter,WELL-016,2022-05-10,2024-01-30,low
EQ-037,BOP A-37,BOP,WELL-017,2023-03-28,2024-05-21,critical
EQ-038,Mud Pump B-38,Mud Pump,WELL-018,2022-12-19,2024-03-10,high
EQ-039,Top Drive C-39,Top Drive,WELL-019,2022-04-04,2024-02-23,medium
EQ-040,Drawworks D-40,Drawworks,WELL-020,2021-11-30,2024-02-22,low
