entry_id,producer_id,asset_id,timestamp,field_name,field_value,auto_populated,manual_time_sec
ME-0001,PRD-025,AST-001006,2026-03-01T08:13:00.112Z,title,The Golden Hour - S03E06 - Final Cut,Yes,0
ME-0002,PRD-025,AST-001006,2026-03-01T08:13:45.334Z,episode_number,S03E06,Yes,0
ME-0003,PRD-025,AST-001006,2026-03-01T08:14:30.556Z,air_date,2026-04-15,No,12
ME-0004,PRD-025,AST-001006,2026-03-01T08:15:22.778Z,runtime,42:18,Yes,0
ME-0005,PRD-001,AST-001006,2026-03-01T08:16:10.890Z,genre,Drama,Yes,0
ME-0006,PRD-001,AST-001006,2026-03-01T08:17:05.112Z,content_rating,TV-14,No,18
ME-0007,PRD-001,AST-001006,2026-03-01T08:18:30.334Z,director,Sarah Mitchell,No,8
ME-0008,PRD-001,AST-001006,2026-03-01T08:19:45.556Z,writer,James Chen; Maria Lopez,No,15
ME-0009,PRD-001,AST-001006,2026-03-01T08:21:00.778Z,cast_primary,Alex Rivera; Emma Stone; Michael Park,No,22
ME-0010,PRD-001,AST-001006,2026-03-01T08:23:15.890Z,cast_secondary,David Kim; Lisa Wong; Robert Hayes,No,28
ME-0011,PRD-025,AST-001006,2026-03-01T08:25:00.112Z,language,English,Yes,0
ME-0012,PRD-025,AST-001006,2026-03-01T08:25:45.334Z,audio_format,5.1 Surround,Yes,0
ME-0013,PRD-001,AST-001006,2026-03-01T08:27:00.556Z,synopsis,Detective Rivera uncovers a conspiracy reaching the highest levels of city government,No,45
ME-0014,PRD-001,AST-001006,2026-03-01T08:29:30.778Z,keywords,crime;drama;conspiracy;detective;corruption;city politics,No,35
ME-0015,PRD-025,AST-001006,2026-03-01T08:31:00.890Z,resolution,3840x2160,Yes,0
ME-0016,PRD-025,AST-001006,2026-03-01T08:31:30.112Z,frame_rate,23.976fps,Yes,0
ME-0017,PRD-025,AST-001006,2026-03-01T08:32:05.334Z,codec,ProRes 4444,Yes,0
ME-0018,PRD-001,AST-001006,2026-03-01T08:33:22.556Z,music_cues,12,No,20
ME-0019,PRD-001,AST-001006,2026-03-01T08:35:00.778Z,closed_captions,Pending,No,8
ME-0020,PRD-001,AST-001006,2026-03-01T08:36:15.890Z,audio_description,Not Started,No,5
ME-0021,PRD-025,AST-005003,2026-03-01T09:42:00.112Z,title,Future Forward - S02E09 - Quantum Rift,Yes,0
ME-0022,PRD-025,AST-005003,2026-03-01T09:42:45.334Z,episode_number,S02E09,Yes,0
ME-0023,PRD-015,AST-005003,2026-03-01T09:43:30.556Z,vfx_shots_count,47,No,15
ME-0024,PRD-015,AST-005003,2026-03-01T09:44:45.778Z,vfx_completion_pct,82,No,12
ME-0025,PRD-025,AST-005003,2026-03-01T09:46:00.890Z,runtime,58:42,Yes,0
ME-0026,PRD-025,AST-005003,2026-03-01T09:46:30.112Z,content_rating,TV-14,No,18
ME-0027,PRD-015,AST-005003,2026-03-01T09:48:00.334Z,director,Marcus Webb,No,8
ME-0028,PRD-015,AST-005003,2026-03-01T09:49:15.556Z,writer,Tanya Okafor,No,6
ME-0029,PRD-025,AST-005003,2026-03-01T09:50:30.778Z,cast_primary,Chris Hemsworth; Zoe Kravitz; Oscar Isaac,No,25
ME-0030,PRD-025,AST-005003,2026-03-01T09:52:45.890Z,genre,Sci-Fi,Yes,0
ME-0031,PRD-015,AST-005003,2026-03-01T09:54:00.112Z,synopsis,The crew navigates a quantum anomaly threatening to collapse parallel dimensions,No,52
ME-0032,PRD-015,AST-005003,2026-03-01T09:56:30.334Z,keywords,sci-fi;quantum;parallel dimensions;space;crew;anomaly,No,38
ME-0033,PRD-025,AST-005003,2026-03-01T09:58:00.556Z,resolution,3840x2160,Yes,0
ME-0034,PRD-025,AST-005003,2026-03-01T09:58:30.778Z,frame_rate,23.976fps,Yes,0
ME-0035,PRD-025,AST-005003,2026-03-01T09:59:00.890Z,codec,ProRes 4444,Yes,0
ME-0036,PRD-025,AST-005003,2026-03-01T09:59:30.112Z,hdr_format,Dolby Vision,Yes,0
ME-0037,PRD-015,AST-005003,2026-03-01T10:01:00.334Z,music_cues,18,No,22
ME-0038,PRD-015,AST-005003,2026-03-01T10:03:15.556Z,sound_effects_count,234,No,30
ME-0039,PRD-025,AST-005003,2026-03-01T10:05:00.778Z,language,English,Yes,0
ME-0040,PRD-025,AST-005003,2026-03-01T10:05:30.890Z,subtitle_languages,English;Spanish;French;German;Japanese,No,20
ME-0041,PRD-002,AST-002006,2026-03-01T10:18:00.112Z,title,Laugh Track - S05E12 - The Big Gamble,Yes,0
ME-0042,PRD-002,AST-002006,2026-03-01T10:18:45.334Z,episode_number,S05E12,Yes,0
ME-0043,PRD-002,AST-002006,2026-03-01T10:19:30.556Z,genre,Comedy,Yes,0
ME-0044,PRD-002,AST-002006,2026-03-01T10:20:15.778Z,runtime,22:08,Yes,0
ME-0045,PRD-002,AST-002006,2026-03-01T10:21:00.890Z,content_rating,TV-PG,No,12
ME-0046,PRD-002,AST-002006,2026-03-01T10:22:30.112Z,director,Pat Williams,No,8
ME-0047,PRD-002,AST-002006,2026-03-01T10:23:45.334Z,writer,Amy Schumer; Dave Atkins,No,12
ME-0048,PRD-002,AST-002006,2026-03-01T10:25:00.556Z,cast_primary,Kevin Hart; Melissa McCarthy,No,18
ME-0049,PRD-002,AST-002006,2026-03-01T10:27:15.778Z,synopsis,Jake bets the house in a high-stakes poker game — with unexpected consequences,No,40
ME-0050,PRD-002,AST-002006,2026-03-01T10:29:00.890Z,keywords,comedy;poker;gambling;bet;house;unexpected,No,28
ME-0051,PRD-025,AST-002006,2026-03-01T10:31:00.112Z,resolution,1920x1080,Yes,0
ME-0052,PRD-025,AST-002006,2026-03-01T10:31:30.334Z,frame_rate,23.976fps,Yes,0
ME-0053,PRD-025,AST-002006,2026-03-01T10:32:00.556Z,codec,ProRes 422,Yes,0
ME-0054,PRD-002,AST-002006,2026-03-01T10:33:30.778Z,music_cues,8,No,15
ME-0055,PRD-002,AST-002006,2026-03-01T10:34:45.890Z,closed_captions,Complete,No,5
ME-0056,PRD-025,AST-002006,2026-03-01T10:35:30.112Z,language,English,Yes,0
ME-0057,PRD-003,AST-003004,2026-03-01T11:00:00.334Z,title,Wilderness Challenge - S04E08 - Arctic Survival,Yes,0
ME-0058,PRD-003,AST-003004,2026-03-01T11:00:45.556Z,episode_number,S04E08,Yes,0
ME-0059,PRD-003,AST-003004,2026-03-01T11:01:30.778Z,genre,Reality,Yes,0
ME-0060,PRD-003,AST-003004,2026-03-01T11:02:15.890Z,runtime,44:22,Yes,0
ME-0061,PRD-003,AST-003004,2026-03-01T11:03:00.112Z,content_rating,TV-PG,No,10
ME-0062,PRD-003,AST-003004,2026-03-01T11:04:30.334Z,director,Field Crew,No,5
ME-0063,PRD-003,AST-003004,2026-03-01T11:05:45.556Z,contestants,Team Alpha;Team Bravo;Team Charlie;Team Delta,No,35
ME-0064,PRD-003,AST-003004,2026-03-01T11:07:30.778Z,location,Northern Alberta Canada,No,12
ME-0065,PRD-003,AST-003004,2026-03-01T11:09:00.890Z,synopsis,Four teams face sub-zero conditions in the Canadian Arctic with minimal supplies,No,42
ME-0066,PRD-003,AST-003004,2026-03-01T11:11:15.112Z,keywords,reality;survival;arctic;competition;teams;wilderness,No,30
ME-0067,PRD-025,AST-003004,2026-03-01T11:13:00.334Z,resolution,3840x2160,Yes,0
ME-0068,PRD-025,AST-003004,2026-03-01T11:13:30.556Z,frame_rate,29.97fps,Yes,0
ME-0069,PRD-025,AST-003004,2026-03-01T11:14:00.778Z,codec,ProRes 422 HQ,Yes,0
ME-0070,PRD-003,AST-003004,2026-03-01T11:15:30.890Z,music_cues,15,No,18
ME-0071,PRD-006,AST-009004,2026-03-01T11:28:00.112Z,title,Secret Lives - S02E03 - The Vanishing,Yes,0
ME-0072,PRD-006,AST-009004,2026-03-01T11:28:45.334Z,episode_number,S02E03,Yes,0
ME-0073,PRD-006,AST-009004,2026-03-01T11:29:30.556Z,genre,True Crime,Yes,0
ME-0074,PRD-006,AST-009004,2026-03-01T11:30:15.778Z,runtime,48:15,Yes,0
ME-0075,PRD-006,AST-009004,2026-03-01T11:31:00.890Z,narrator,Jennifer Lawrence,No,8
ME-0076,PRD-006,AST-009004,2026-03-01T11:32:30.112Z,content_rating,TV-MA,No,15
ME-0077,PRD-006,AST-009004,2026-03-01T11:34:00.334Z,archival_footage_count,23,No,20
ME-0078,PRD-006,AST-009004,2026-03-01T11:35:45.556Z,interview_subjects,Det. Maria Santos;FBI Agent Tom Walsh;Neighbor Carol Jenkins,No,35
ME-0079,PRD-006,AST-009004,2026-03-01T11:37:30.778Z,synopsis,A small-town disappearance reveals layers of deception spanning decades,No,48
ME-0080,PRD-006,AST-009004,2026-03-01T11:39:45.890Z,keywords,true crime;disappearance;investigation;cold case;deception,No,32
ME-0081,PRD-013,AST-012004,2026-03-01T12:56:00.112Z,title,Viral Moments - Batch 2026-W09,Yes,0
ME-0082,PRD-013,AST-012004,2026-03-01T12:56:30.334Z,content_type,Short-form Compilation,No,8
ME-0083,PRD-013,AST-012004,2026-03-01T12:57:00.556Z,platform_target,TikTok;Instagram Reels;YouTube Shorts,No,15
ME-0084,PRD-013,AST-012004,2026-03-01T12:57:45.778Z,clip_count,18,No,10
ME-0085,PRD-013,AST-012004,2026-03-01T12:58:30.890Z,total_runtime,8:42,No,12
ME-0086,PRD-013,AST-012004,2026-03-01T12:59:15.112Z,hashtags,#ViralMoments #Trending #MustWatch,No,20
ME-0087,PRD-013,AST-012004,2026-03-01T13:00:00.334Z,resolution,1080x1920,Yes,0
ME-0088,PRD-013,AST-012004,2026-03-01T13:00:30.556Z,codec,H.265,Yes,0
ME-0089,PRD-004,AST-011003,2026-03-01T13:15:00.778Z,title,Sports Central - 2026-03-01 Evening Edition,Yes,0
ME-0090,PRD-004,AST-011003,2026-03-01T13:15:45.890Z,broadcast_date,2026-03-01,No,5
ME-0091,PRD-018,AST-011003,2026-03-01T13:16:30.112Z,segment_count,12,No,8
ME-0092,PRD-018,AST-011003,2026-03-01T13:17:15.334Z,anchor,Brian Thompson,No,5
ME-0093,PRD-004,AST-011003,2026-03-01T13:18:00.556Z,highlights,NBA;NHL;Premier League,No,18
ME-0094,PRD-004,AST-011003,2026-03-01T13:19:30.778Z,runtime,60:00,Yes,0
ME-0095,PRD-018,AST-011003,2026-03-01T13:20:15.890Z,content_rating,TV-G,No,5
ME-0096,PRD-025,AST-011003,2026-03-01T13:21:00.112Z,resolution,1920x1080,Yes,0
ME-0097,PRD-025,AST-011003,2026-03-01T13:21:30.334Z,frame_rate,59.94fps,Yes,0
ME-0098,PRD-025,AST-011003,2026-03-01T13:22:00.556Z,codec,XDCAM,Yes,0
ME-0099,PRD-020,AST-013002,2026-03-01T14:00:00.778Z,title,Daily Deep Dive - Episode 142 - Tech Ethics,Yes,0
ME-0100,PRD-020,AST-013002,2026-03-01T14:00:45.890Z,episode_number,142,Yes,0
ME-0101,PRD-020,AST-013002,2026-03-01T14:01:30.112Z,host,Sandra Kim,No,5
ME-0102,PRD-020,AST-013002,2026-03-01T14:02:15.334Z,guest,Dr. James Morton - AI Ethics Professor,No,15
ME-0103,PRD-020,AST-013002,2026-03-01T14:03:30.556Z,runtime,38:22,Yes,0
ME-0104,PRD-020,AST-013002,2026-03-01T14:04:15.778Z,description,Exploring the ethical implications of AI in content production and media,No,42
ME-0105,PRD-020,AST-013002,2026-03-01T14:06:00.890Z,keywords,podcast;AI;ethics;technology;media;content,No,25
ME-0106,PRD-025,AST-013002,2026-03-01T14:07:30.112Z,audio_format,Stereo,Yes,0
ME-0107,PRD-025,AST-013002,2026-03-01T14:08:00.334Z,codec,AAC 320kbps,Yes,0
ME-0108,PRD-001,AST-001007,2026-03-02T08:19:00.556Z,title,The Golden Hour - S03E07 - Fallout,Yes,0
ME-0109,PRD-001,AST-001007,2026-03-02T08:19:45.778Z,episode_number,S03E07,Yes,0
ME-0110,PRD-001,AST-001007,2026-03-02T08:20:30.890Z,air_date,2026-04-22,No,12
ME-0111,PRD-001,AST-001007,2026-03-02T08:21:15.112Z,runtime,44:06,Yes,0
ME-0112,PRD-001,AST-001007,2026-03-02T08:22:00.334Z,genre,Drama,Yes,0
ME-0113,PRD-001,AST-001007,2026-03-02T08:23:30.556Z,content_rating,TV-14,No,18
ME-0114,PRD-001,AST-001007,2026-03-02T08:25:00.778Z,director,James Chen,No,8
ME-0115,PRD-001,AST-001007,2026-03-02T08:26:15.890Z,writer,Sarah Mitchell,No,6
ME-0116,PRD-001,AST-001007,2026-03-02T08:28:00.112Z,cast_primary,Alex Rivera; Emma Stone; Michael Park,No,22
ME-0117,PRD-001,AST-001007,2026-03-02T08:30:30.334Z,synopsis,The fallout from the conspiracy forces Rivera to question everything he believed,No,50
ME-0118,PRD-001,AST-001007,2026-03-02T08:32:45.556Z,keywords,drama;conspiracy;detective;identity;trust;government,No,35
ME-0119,PRD-025,AST-001007,2026-03-02T08:34:00.778Z,resolution,3840x2160,Yes,0
ME-0120,PRD-025,AST-001007,2026-03-02T08:34:30.890Z,frame_rate,23.976fps,Yes,0
ME-0121,PRD-025,AST-001007,2026-03-02T08:35:00.112Z,codec,ProRes 4444,Yes,0
ME-0122,PRD-001,AST-001007,2026-03-02T08:36:30.334Z,music_cues,14,No,22
ME-0123,PRD-001,AST-001007,2026-03-02T08:38:00.556Z,closed_captions,Pending,No,8
ME-0124,PRD-015,AST-005004,2026-03-02T09:08:30.778Z,title,Future Forward - S02E10 - Event Horizon,Yes,0
ME-0125,PRD-015,AST-005004,2026-03-02T09:09:15.890Z,episode_number,S02E10,Yes,0
ME-0126,PRD-023,AST-005004,2026-03-02T09:43:00.112Z,vfx_shots_count,52,No,18
ME-0127,PRD-023,AST-005004,2026-03-02T09:44:15.334Z,vfx_completion_pct,75,No,15
ME-0128,PRD-025,AST-005004,2026-03-02T09:45:30.556Z,runtime,60:18,Yes,0
ME-0129,PRD-025,AST-005004,2026-03-02T09:46:00.778Z,genre,Sci-Fi,Yes,0
ME-0130,PRD-015,AST-005004,2026-03-02T09:47:30.890Z,director,Marcus Webb,No,8
ME-0131,PRD-015,AST-005004,2026-03-02T09:49:00.112Z,synopsis,The team approaches the event horizon and must decide between science and survival,No,55
ME-0132,PRD-025,AST-005004,2026-03-02T09:51:00.334Z,resolution,3840x2160,Yes,0
ME-0133,PRD-025,AST-005004,2026-03-02T09:51:30.556Z,hdr_format,Dolby Vision,Yes,0
ME-0134,PRD-015,AST-005004,2026-03-02T09:53:00.778Z,music_cues,20,No,25
ME-0135,PRD-015,AST-005004,2026-03-02T09:55:15.890Z,sound_effects_count,267,No,35
ME-0136,PRD-025,AST-005004,2026-03-02T09:57:00.112Z,subtitle_languages,English;Spanish;French;German;Japanese;Korean,No,22
ME-0137,PRD-016,AST-008003,2026-03-02T10:06:00.334Z,title,Home Makeover Magic - S03E05 - Victorian Revival,Yes,0
ME-0138,PRD-016,AST-008003,2026-03-02T10:06:45.556Z,episode_number,S03E05,Yes,0
ME-0139,PRD-016,AST-008003,2026-03-02T10:07:30.778Z,genre,Lifestyle,Yes,0
ME-0140,PRD-016,AST-008003,2026-03-02T10:08:15.890Z,runtime,42:30,Yes,0
ME-0141,PRD-016,AST-008003,2026-03-02T10:09:00.112Z,host,Jessica Palmer,No,8
ME-0142,PRD-016,AST-008003,2026-03-02T10:10:30.334Z,content_rating,TV-G,No,8
ME-0143,PRD-016,AST-008003,2026-03-02T10:11:45.556Z,synopsis,A crumbling Victorian home gets a stunning modern update while preserving its character,No,48
ME-0144,PRD-016,AST-008003,2026-03-02T10:13:30.778Z,keywords,home;renovation;victorian;design;makeover;before after,No,30
ME-0145,PRD-025,AST-008003,2026-03-02T10:15:00.890Z,resolution,3840x2160,Yes,0
ME-0146,PRD-025,AST-008003,2026-03-02T10:15:30.112Z,frame_rate,23.976fps,Yes,0
ME-0147,PRD-025,AST-008003,2026-03-02T10:16:00.334Z,codec,ProRes 422 HQ,Yes,0
ME-0148,PRD-002,AST-002007,2026-03-02T10:19:00.556Z,title,Laugh Track - S05E13 - Double Down,Yes,0
ME-0149,PRD-002,AST-002007,2026-03-02T10:19:45.778Z,episode_number,S05E13,Yes,0
ME-0150,PRD-002,AST-002007,2026-03-02T10:20:30.890Z,genre,Comedy,Yes,0
ME-0151,PRD-002,AST-002007,2026-03-02T10:21:15.112Z,runtime,22:34,Yes,0
ME-0152,PRD-002,AST-002007,2026-03-02T10:22:00.334Z,content_rating,TV-PG,No,12
ME-0153,PRD-002,AST-002007,2026-03-02T10:23:30.556Z,director,Pat Williams,No,8
ME-0154,PRD-002,AST-002007,2026-03-02T10:24:45.778Z,synopsis,Jake doubles down on his poker losses leading to a hilarious chain of events,No,42
ME-0155,PRD-002,AST-002007,2026-03-02T10:26:30.890Z,keywords,comedy;poker;sequel;doubling down;hilarious,No,25
ME-0156,PRD-025,AST-002007,2026-03-02T10:28:00.112Z,resolution,1920x1080,Yes,0
ME-0157,PRD-025,AST-002007,2026-03-02T10:28:30.334Z,codec,ProRes 422,Yes,0
ME-0158,PRD-003,AST-003005,2026-03-02T10:33:00.556Z,title,Wilderness Challenge - S04E09 - Desert Storm,Yes,0
ME-0159,PRD-003,AST-003005,2026-03-02T10:33:45.778Z,episode_number,S04E09,Yes,0
ME-0160,PRD-003,AST-003005,2026-03-02T10:34:30.890Z,genre,Reality,Yes,0
ME-0161,PRD-003,AST-003005,2026-03-02T10:35:15.112Z,runtime,44:50,Yes,0
ME-0162,PRD-003,AST-003005,2026-03-02T10:36:00.334Z,content_rating,TV-PG,No,10
ME-0163,PRD-003,AST-003005,2026-03-02T10:37:30.556Z,location,Mojave Desert California,No,12
ME-0164,PRD-003,AST-003005,2026-03-02T10:38:45.778Z,contestants,Team Alpha;Team Bravo;Team Charlie,No,30
ME-0165,PRD-003,AST-003005,2026-03-02T10:40:00.890Z,synopsis,Teams navigate a brutal desert sandstorm with limited water supplies,No,45
ME-0166,PRD-003,AST-003005,2026-03-02T10:42:15.112Z,keywords,reality;desert;survival;sandstorm;water;competition,No,28
ME-0167,PRD-024,AST-004003,2026-03-02T10:49:00.334Z,title,Cold Case Files Revisited - S01E03 - The Lake House,Yes,0
ME-0168,PRD-024,AST-004003,2026-03-02T10:49:45.556Z,episode_number,S01E03,Yes,0
ME-0169,PRD-024,AST-004003,2026-03-02T10:50:30.778Z,genre,True Crime,Yes,0
ME-0170,PRD-024,AST-004003,2026-03-02T10:51:15.890Z,runtime,52:18,Yes,0
ME-0171,PRD-024,AST-004003,2026-03-02T10:52:00.112Z,content_rating,TV-MA,No,15
ME-0172,PRD-024,AST-004003,2026-03-02T10:53:30.334Z,narrator,Keanu Reeves,No,8
ME-0173,PRD-024,AST-004003,2026-03-02T10:55:00.556Z,synopsis,New DNA evidence reopens a decades-old drowning that may have been murder,No,50
ME-0174,PRD-024,AST-004003,2026-03-02T10:57:15.778Z,keywords,true crime;cold case;DNA;evidence;drowning;murder,No,32
ME-0175,PRD-006,AST-009005,2026-03-02T11:22:30.890Z,title,Secret Lives - S02E04 - Echoes,Yes,0
ME-0176,PRD-006,AST-009005,2026-03-02T11:23:15.112Z,episode_number,S02E04,Yes,0
ME-0177,PRD-006,AST-009005,2026-03-02T11:24:00.334Z,genre,True Crime,Yes,0
ME-0178,PRD-006,AST-009005,2026-03-02T11:25:15.556Z,runtime,46:40,Yes,0
ME-0179,PRD-006,AST-009005,2026-03-02T11:26:30.778Z,content_rating,TV-MA,No,15
ME-0180,PRD-006,AST-009005,2026-03-02T11:28:00.890Z,interview_subjects,Retired Sheriff Jim Walton;Sister Patricia Hernandez,No,28
ME-0181,PRD-006,AST-009005,2026-03-02T11:29:30.112Z,archival_footage_count,19,No,18
ME-0182,PRD-006,AST-009005,2026-03-02T11:31:00.334Z,synopsis,Echoes from the past resurface as new witnesses come forward with shocking testimony,No,52
ME-0183,PRD-006,AST-009005,2026-03-02T11:33:15.556Z,keywords,true crime;witnesses;testimony;past;cold case;evidence,No,35
ME-0184,PRD-013,AST-012005,2026-03-02T12:55:30.778Z,title,Viral Moments - Batch 2026-W10,Yes,0
ME-0185,PRD-014,AST-012005,2026-03-02T12:56:00.890Z,content_type,Short-form Compilation,No,8
ME-0186,PRD-014,AST-012005,2026-03-02T12:56:45.112Z,platform_target,TikTok;Instagram Reels;YouTube Shorts,No,15
ME-0187,PRD-014,AST-012005,2026-03-02T12:57:30.334Z,clip_count,22,No,10
ME-0188,PRD-014,AST-012005,2026-03-02T12:58:15.556Z,total_runtime,10:15,No,12
ME-0189,PRD-014,AST-012005,2026-03-02T12:59:00.778Z,hashtags,#ViralMoments #WeeklyBest #Must See,No,18
ME-0190,PRD-025,AST-012005,2026-03-02T13:00:00.890Z,resolution,1080x1920,Yes,0
ME-0191,PRD-025,AST-012005,2026-03-02T13:00:30.112Z,codec,H.265,Yes,0
ME-0192,PRD-020,AST-013002,2026-03-02T13:20:30.334Z,title,Daily Deep Dive - Episode 143 - Climate Media,Yes,0
ME-0193,PRD-020,AST-013002,2026-03-02T13:21:15.556Z,episode_number,143,Yes,0
ME-0194,PRD-020,AST-013002,2026-03-02T13:22:00.778Z,guest,Prof. Elena Rodriguez - Climate Journalism Author,No,18
ME-0195,PRD-020,AST-013002,2026-03-02T13:23:30.890Z,runtime,42:10,Yes,0
ME-0196,PRD-020,AST-013002,2026-03-02T13:24:45.112Z,description,How media covers climate change and the responsibility of accurate reporting,No,45
ME-0197,PRD-020,AST-013002,2026-03-02T13:26:30.334Z,keywords,podcast;climate;journalism;media;reporting;environment,No,30
ME-0198,PRD-005,AST-006002,2026-03-02T15:02:00.556Z,title,History Unearthed - S06E02 - Roman Britain,Yes,0
ME-0199,PRD-005,AST-006002,2026-03-02T15:02:45.778Z,episode_number,S06E02,Yes,0
ME-0200,PRD-005,AST-006002,2026-03-02T15:03:30.890Z,genre,Documentary,Yes,0
ME-0201,PRD-005,AST-006002,2026-03-02T15:04:15.112Z,runtime,52:00,Yes,0
ME-0202,PRD-005,AST-006002,2026-03-02T15:05:00.334Z,content_rating,TV-PG,No,8
ME-0203,PRD-005,AST-006002,2026-03-02T15:06:30.556Z,narrator,David Attenborough,No,5
