alert_id,customer_id,ticket_id,timestamp,sla_metric,threshold,actual_value,breach_flag,area_id,severity,notification_sent,response_within_sla
SLA-001,CUST-001,TKT-0001,2026-02-23T07:00:00Z,Availability,99.99,99.95,Yes,SA-001,Critical,Yes,No
SLA-002,CUST-003,TKT-0005,2026-02-23T15:30:00Z,MTTR,4.0,5.2,Yes,SA-009,Major,Yes,No
SLA-003,CUST-004,TKT-0008,2026-02-24T09:00:00Z,Latency,10,15.3,Yes,SA-004,Major,Yes,Yes
SLA-004,CUST-002,TKT-0012,2026-02-24T16:45:00Z,Availability,99.95,99.88,Yes,SA-003,Critical,Yes,No
SLA-005,CUST-006,TKT-0018,2026-02-25T12:00:00Z,Jitter,5.0,4.8,No,SA-001,Minor,No,Yes
SLA-006,CUST-010,TKT-0022,2026-02-25T15:45:00Z,Availability,99.99,99.82,Yes,SA-009,Critical,Yes,No
SLA-007,CUST-010,TKT-0022,2026-02-25T17:00:00Z,MTTR,2.0,4.5,Yes,SA-009,Critical,Yes,No
SLA-008,CUST-007,TKT-0025,2026-02-26T07:30:00Z,Packet Loss,0.1,0.05,No,SA-005,Minor,No,Yes
SLA-009,CUST-011,TKT-0030,2026-02-26T14:00:00Z,Availability,99.95,99.91,Yes,SA-004,Major,Yes,Yes
SLA-010,CUST-014,TKT-0035,2026-02-27T08:45:00Z,Latency,5,4.2,No,SA-001,Minor,No,Yes
SLA-011,CUST-003,TKT-0040,2026-02-27T13:30:00Z,Availability,99.99,99.70,Yes,SA-009,Critical,Yes,No
SLA-012,CUST-003,TKT-0040,2026-02-27T15:00:00Z,MTTR,2.0,6.8,Yes,SA-009,Critical,Yes,No
SLA-013,CUST-008,TKT-0045,2026-02-28T08:15:00Z,Jitter,5.0,7.2,Yes,SA-003,Major,Yes,Yes
SLA-014,CUST-015,TKT-0050,2026-02-28T11:45:00Z,Availability,99.95,99.92,Yes,SA-003,Major,Yes,Yes
SLA-015,CUST-019,TKT-0055,2026-03-01T07:00:00Z,Latency,10,8.5,No,SA-004,Minor,No,Yes
SLA-016,CUST-001,TKT-0060,2026-03-01T10:30:00Z,Availability,99.99,99.96,Yes,SA-001,Major,Yes,Yes
SLA-017,CUST-020,TKT-0065,2026-03-01T15:00:00Z,Packet Loss,0.1,0.15,Yes,SA-006,Major,Yes,Yes
SLA-018,CUST-025,TKT-0070,2026-03-02T07:30:00Z,Availability,99.95,99.90,Yes,SA-010,Major,Yes,No
SLA-019,CUST-005,TKT-0075,2026-03-02T14:45:00Z,MTTR,4.0,3.5,No,SA-006,Minor,No,Yes
SLA-020,CUST-009,TKT-0080,2026-03-03T08:00:00Z,Latency,10,12.4,Yes,SA-010,Major,Yes,No
SLA-021,CUST-012,TKT-0085,2026-03-03T12:00:00Z,Availability,99.95,99.93,Yes,SA-006,Major,Yes,Yes
SLA-022,CUST-016,TKT-0090,2026-03-03T15:30:00Z,Jitter,5.0,4.1,No,SA-010,Minor,No,Yes
SLA-023,CUST-002,TKT-0095,2026-03-04T07:45:00Z,Availability,99.95,99.80,Yes,SA-003,Critical,Yes,No
SLA-024,CUST-002,TKT-0095,2026-03-04T09:00:00Z,MTTR,4.0,6.2,Yes,SA-003,Critical,Yes,No
SLA-025,CUST-018,TKT-0100,2026-03-04T10:15:00Z,Packet Loss,0.1,0.22,Yes,SA-009,Major,Yes,No
SLA-026,CUST-023,TKT-0105,2026-03-05T07:00:00Z,Availability,99.99,99.97,No,SA-001,Minor,No,Yes
SLA-027,CUST-004,TKT-0110,2026-03-05T10:30:00Z,Latency,10,11.8,Yes,SA-004,Major,Yes,Yes
SLA-028,CUST-013,TKT-0115,2026-03-05T14:15:00Z,Availability,99.95,99.94,No,SA-005,Minor,No,Yes
SLA-029,CUST-006,TKT-0120,2026-03-06T07:30:00Z,Jitter,3.0,2.8,No,SA-001,Minor,No,Yes
SLA-030,CUST-017,TKT-0125,2026-03-06T10:00:00Z,Availability,99.95,99.85,Yes,SA-008,Major,Yes,No
SLA-031,CUST-021,TKT-0130,2026-03-06T14:30:00Z,MTTR,4.0,5.8,Yes,SA-007,Major,Yes,No
SLA-032,CUST-010,TKT-0135,2026-03-07T07:15:00Z,Availability,99.99,99.76,Yes,SA-009,Critical,Yes,No
SLA-033,CUST-010,TKT-0135,2026-03-07T08:30:00Z,MTTR,2.0,5.5,Yes,SA-009,Critical,Yes,No
SLA-034,CUST-010,TKT-0135,2026-03-07T10:00:00Z,Packet Loss,0.05,0.35,Yes,SA-009,Critical,Yes,No
SLA-035,CUST-022,TKT-0140,2026-03-07T14:00:00Z,Latency,10,9.2,No,SA-005,Minor,No,Yes
SLA-036,CUST-014,TKT-0145,2026-03-08T07:30:00Z,Availability,99.99,99.98,No,SA-001,Minor,No,Yes
SLA-037,CUST-008,TKT-0150,2026-03-08T10:45:00Z,Jitter,5.0,6.8,Yes,SA-003,Major,Yes,Yes
SLA-038,CUST-015,TKT-0155,2026-03-08T14:30:00Z,MTTR,4.0,3.2,No,SA-003,Minor,No,Yes
SLA-039,CUST-024,TKT-0160,2026-03-09T07:00:00Z,Availability,99.95,99.87,Yes,SA-003,Major,Yes,No
SLA-040,CUST-009,TKT-0165,2026-03-09T10:30:00Z,Latency,10,14.5,Yes,SA-010,Major,Yes,No
SLA-041,CUST-011,TKT-0170,2026-03-09T14:15:00Z,Availability,99.95,99.92,Yes,SA-004,Major,Yes,Yes
SLA-042,CUST-007,TKT-0175,2026-03-10T07:45:00Z,Packet Loss,0.1,0.08,No,SA-005,Minor,No,Yes
SLA-043,CUST-003,TKT-0180,2026-03-10T10:00:00Z,Availability,99.99,99.74,Yes,SA-009,Critical,Yes,No
