dispatch_id,technician_id,ticket_id,dispatch_date,site_type,travel_time_min,work_time_min,doc_time_min,resolution,parts_used,area_id,equipment_id,mileage,vehicle_id
FD-0001,ENG-007,TKT-0009,2026-02-24,Central Office,15,180,40,PM Complete,Fiber cleaning kit,SA-001,EQ-005,8,VAN-12
FD-0002,ENG-009,TKT-0010,2026-02-24,Underground Vault,45,240,60,Fiber Spliced,Splice tray - fiber connectors,SA-007,EQ-019,32,VAN-08
FD-0003,ENG-010,TKT-0021,2026-02-25,Aerial Pole,60,300,65,Fiber Repaired,Splice closure - 50m fiber - dead-end clamp,SA-008,EQ-020,42,VAN-15
FD-0004,ENG-015,TKT-0030,2026-02-27,Cell Tower,35,150,40,Radio Replaced,5G Radio Unit,SA-011,EQ-028,18,VAN-03
FD-0005,ENG-019,TKT-0025,2026-02-26,Cell Tower,40,240,45,PM Complete,Antenna jumper - torque wrench calibration,SA-001,EQ-007,22,VAN-07
FD-0006,ENG-021,TKT-0038,2026-02-28,Cell Tower,55,210,35,PM Complete,Coax jumper - grounding kit,SA-004,EQ-016,38,VAN-11
FD-0007,ENG-023,TKT-0029,2026-02-27,Underground Vault,50,280,55,Fiber Spliced,Splice tray - OTDR calibration,SA-008,EQ-020,35,VAN-05
FD-0008,ENG-027,TKT-0043,2026-03-01,Customer Premise,25,90,25,ONT Replaced,GPON ONT - fiber patch cord,SA-012,EQ-027,12,VAN-09
FD-0009,ENG-007,TKT-0044,2026-03-01,Underground Vault,30,330,60,Fiber Spliced,Splice closure - 25m fiber - conduit seal,SA-001,EQ-006,15,VAN-12
FD-0010,ENG-009,TKT-0039,2026-02-28,Customer Premise,40,150,85,Service Activated,GPON ONT - drop fiber 75m - mounting bracket,SA-007,EQ-019,28,VAN-08
FD-0011,ENG-015,TKT-0060,2026-03-04,Customer Premise,55,240,80,Service Activated,5G CPE - mounting pole - Ethernet cable,SA-011,EQ-029,40,VAN-03
FD-0012,ENG-010,TKT-0048,2026-03-02,Central Office,20,210,45,PM Complete,Fiber cleaning kit - SFP optics,SA-008,EQ-020,10,VAN-15
FD-0013,ENG-021,TKT-0054,2026-03-03,Aerial Pole,65,360,70,Fiber Repaired,Splice closure - 100m fiber - aerial hardware,SA-005,EQ-014,48,VAN-11
FD-0014,ENG-019,TKT-0058,2026-03-04,Cell Tower,45,240,45,PM Complete,Drive test equipment - antenna alignment tool,SA-015,EQ-008,30,VAN-07
FD-0015,ENG-023,TKT-0059,2026-03-04,Central Office,25,270,55,Hardware Replaced,Power supply module,SA-007,EQ-017,14,VAN-05
FD-0016,ENG-027,TKT-0075,2026-03-06,Cell Tower,50,240,40,PM Complete,Coax jumper - VSWR meter,SA-012,EQ-028,35,VAN-09
FD-0017,ENG-007,TKT-0087,2026-03-08,Customer Premise,20,480,90,Service Activated,GPON ONT x12 - drop fiber - mounting hardware,SA-001,EQ-005,8,VAN-12
FD-0018,ENG-010,TKT-0080,2026-03-07,Aerial Pole,55,270,55,Fiber Repaired,Splice closure - 30m fiber - pole hardware,SA-008,EQ-020,40,VAN-15
FD-0019,ENG-009,TKT-0103,2026-03-11,Underground Vault,60,320,60,Fiber Spliced,Splice tray - 40m fiber - excavation supplies,SA-007,EQ-017,45,VAN-08
FD-0020,ENG-015,TKT-0091,2026-03-09,Aerial Pole,40,270,55,Fiber Repaired,Splice closure - aerial hardware,SA-011,EQ-029,25,VAN-03
FD-0021,ENG-023,TKT-0089,2026-03-09,Central Office,30,210,45,PM Complete,Fiber cleaning kit - config backup device,SA-008,EQ-045,18,VAN-05
FD-0022,ENG-021,TKT-0099,2026-03-10,Cell Tower,70,240,40,PM Complete,Tower climbing gear - grounding test equipment,SA-005,EQ-016,52,VAN-11
FD-0023,ENG-019,TKT-0109,2026-03-12,Cell Tower,35,240,45,PM Complete,MIMO test equipment - antenna alignment tool,SA-001,EQ-007,20,VAN-07
FD-0024,ENG-010,TKT-0108,2026-03-12,Customer Premise,30,60,20,ONT Reprovisioned,None - remote reprovisioning tool,SA-008,EQ-020,16,VAN-15
FD-0025,ENG-027,TKT-0111,2026-03-12,Customer Premise,25,120,40,Fiber Repaired,Splice kit - 5m fiber,SA-014,EQ-027,14,VAN-09
FD-0026,ENG-007,TKT-0109,2026-03-12,Cell Tower,40,240,45,PM Complete,Drive test equipment,SA-001,EQ-007,22,VAN-12
FD-0027,ENG-023,TKT-0116,2026-03-13,Central Office,25,120,50,SFP Replaced,SFP+ 10G optic,SA-008,EQ-018,14,VAN-05
FD-0028,ENG-015,TKT-0120,2026-03-13,Customer Premise,60,360,85,Service Activated,5G CPE - mounting hardware - Ethernet,SA-011,EQ-029,45,VAN-03
FD-0029,ENG-009,TKT-0131,2026-03-15,Central Office,35,270,50,Supervisor Replaced,Supervisor module,SA-007,EQ-045,22,VAN-08
FD-0030,ENG-010,TKT-0147,2026-03-18,Aerial Pole,55,270,55,Fiber Repaired,Splice closure - 25m fiber - aerial clamps,SA-008,EQ-020,38,VAN-15
FD-0031,ENG-021,TKT-0133,2026-03-16,Underground Vault,50,300,55,Fiber Spliced,Splice tray - excavation supplies,SA-004,EQ-044,36,VAN-11
FD-0032,ENG-023,TKT-0137,2026-03-16,Central Office,30,360,50,Chassis Replaced,Full chassis assembly,SA-003,EQ-011,18,VAN-05
FD-0033,ENG-019,TKT-0127,2026-03-15,Cell Tower,35,240,40,PM Complete,Panel inspection tools - drive test kit,SA-002,EQ-008,20,VAN-07
