survey_id,subcontractor_id,project_id,date,coordination_score,payment_timeliness,communication_rating
SS-001,SUB-001,PRJ-001,2026-03-10,8.5,9.0,8.2
SS-002,SUB-002,PRJ-001,2026-03-10,7.8,8.5,7.5
SS-003,SUB-003,PRJ-001,2026-03-10,8.0,8.8,7.8
SS-004,SUB-004,PRJ-001,2026-03-10,7.5,8.2,7.0
SS-005,SUB-005,PRJ-002,2026-03-10,9.0,9.2,8.8
SS-006,SUB-006,PRJ-002,2026-03-10,8.2,8.5,8.0
SS-007,SUB-007,PRJ-002,2026-03-10,7.0,7.5,6.8
SS-008,SUB-008,PRJ-003,2026-03-10,8.8,9.0,8.5
SS-009,SUB-009,PRJ-003,2026-03-10,7.2,7.8,7.0
SS-010,SUB-010,PRJ-004,2026-03-10,8.5,8.8,8.2
SS-011,SUB-011,PRJ-004,2026-03-10,6.8,7.0,6.5
SS-012,SUB-012,PRJ-005,2026-03-10,8.0,8.5,7.8
SS-013,SUB-013,PRJ-005,2026-03-10,7.5,8.0,7.2
SS-014,SUB-014,PRJ-005,2026-03-10,8.2,8.5,8.0
SS-015,SUB-015,PRJ-006,2026-03-10,9.2,9.5,9.0
SS-016,SUB-016,PRJ-006,2026-03-10,7.8,8.2,7.5
SS-017,SUB-017,PRJ-007,2026-03-10,8.0,8.0,7.8
SS-018,SUB-018,PRJ-007,2026-03-10,7.5,7.8,7.2
SS-019,SUB-019,PRJ-008,2026-03-10,8.5,9.0,8.2
SS-020,SUB-020,PRJ-008,2026-03-10,6.5,7.0,6.2
SS-021,SUB-021,PRJ-009,2026-03-10,9.0,9.5,8.8
SS-022,SUB-022,PRJ-009,2026-03-10,8.8,9.2,8.5
SS-023,SUB-023,PRJ-009,2026-03-10,7.8,8.0,7.5
SS-024,SUB-024,PRJ-010,2026-03-10,8.2,8.5,8.0
SS-025,SUB-025,PRJ-010,2026-03-10,7.0,7.5,6.8
SS-026,SUB-026,PRJ-011,2026-03-10,8.5,8.8,8.2
SS-027,SUB-027,PRJ-011,2026-03-10,7.5,8.0,7.2
SS-028,SUB-028,PRJ-012,2026-03-10,8.0,8.5,7.8
SS-029,SUB-029,PRJ-012,2026-03-10,7.2,7.5,7.0
SS-030,SUB-030,PRJ-012,2026-03-10,8.8,9.0,8.5
