alert_id,well_id,timestamp,alert_type,severity,parameter,threshold,actual_value,action_taken
PA-001,WELL-007,2024-03-29T10:28:07Z,hse_trigger,low,vibration_mm_s,826.4,911.6,investigate
PA-002,WELL-020,2024-06-14T12:05:19Z,equipment_failure,low,flow_bpd,1879.5,1617.6,log_only
PA-003,WELL-005,2024-01-23T20:43:06Z,water_cut_increase,high,temperature_f,1551.1,1609.0,dispatch_crew
PA-004,WELL-005,2024-06-01T04:44:16Z,equipment_failure,low,temperature_f,4450.8,3534.0,escalate
PA-005,WELL-016,2024-01-01T09:43:13Z,pressure_anomaly,high,flow_bpd,4358.6,4253.2,log_only
PA-006,WELL-010,2024-04-19T20:39:04Z,hse_trigger,high,water_cut_pct,2402.4,2998.3,log_only
PA-007,WELL-005,2024-05-27T22:57:00Z,gas_lift_failure,critical,water_cut_pct,3352.7,2461.2,escalate
PA-008,WELL-011,2024-01-18T08:14:16Z,equipment_failure,critical,pressure_psi,4506.2,4078.6,investigate
PA-009,WELL-015,2024-05-22T21:36:07Z,flow_restriction,low,pressure_psi,3550.7,3958.3,escalate
PA-010,WELL-010,2024-04-18T22:39:22Z,pressure_anomaly,low,pressure_psi,4778.1,5196.9,investigate
PA-011,WELL-019,2024-04-11T07:32:56Z,ESP_trip,critical,gas_rate_mcfd,4489.5,3179.7,log_only
PA-012,WELL-006,2024-01-04T16:25:23Z,flow_restriction,medium,pressure_psi,4157.0,5632.8,log_only
PA-013,WELL-015,2024-01-17T10:29:16Z,water_cut_increase,critical,gas_rate_mcfd,272.7,375.2,investigate
PA-014,WELL-011,2024-03-25T20:38:55Z,gas_lift_failure,critical,flow_bpd,4305.3,3813.0,auto_shutdown
PA-015,WELL-003,2024-01-23T06:16:57Z,pressure_anomaly,medium,temperature_f,763.0,633.3,investigate
PA-016,WELL-005,2024-02-29T13:45:52Z,equipment_failure,medium,flow_bpd,3091.7,2760.2,investigate
PA-017,WELL-002,2024-02-27T20:53:38Z,equipment_failure,low,temperature_f,755.2,1060.1,auto_shutdown
PA-018,WELL-013,2024-06-09T17:33:16Z,pressure_anomaly,low,pressure_psi,1236.1,1405.8,dispatch_crew
PA-019,WELL-016,2024-04-08T18:20:48Z,equipment_failure,low,temperature_f,350.1,356.5,increase_monitoring
PA-020,WELL-003,2024-04-04T00:24:10Z,decline_deviation,critical,vibration_mm_s,1207.0,1686.8,auto_shutdown
PA-021,WELL-018,2024-04-23T19:45:45Z,pressure_anomaly,medium,gas_rate_mcfd,3275.2,2335.3,log_only
PA-022,WELL-014,2024-03-27T14:25:40Z,pressure_anomaly,medium,pressure_psi,1897.9,2821.8,dispatch_crew
PA-023,WELL-018,2024-03-23T06:49:46Z,hse_trigger,low,flow_bpd,4072.6,5966.4,log_only
PA-024,WELL-010,2024-05-06T19:28:29Z,gas_lift_failure,low,flow_bpd,4670.9,4829.6,log_only
PA-025,WELL-009,2024-06-12T00:17:46Z,equipment_failure,high,vibration_mm_s,1103.1,1496.5,auto_shutdown
PA-026,WELL-002,2024-02-01T08:15:16Z,pressure_anomaly,high,flow_bpd,2006.8,1426.2,dispatch_crew
PA-027,WELL-018,2024-02-24T06:22:12Z,equipment_failure,medium,gas_rate_mcfd,2548.9,3369.3,escalate
PA-028,WELL-011,2024-05-03T08:06:22Z,flow_restriction,critical,temperature_f,1267.3,1881.6,auto_shutdown
PA-029,WELL-007,2024-03-30T06:49:12Z,water_cut_increase,low,vibration_mm_s,711.9,1018.0,log_only
PA-030,WELL-016,2024-01-01T19:56:33Z,decline_deviation,medium,water_cut_pct,2801.2,3436.6,increase_monitoring
PA-031,WELL-013,2024-04-14T11:52:27Z,pressure_anomaly,low,gas_rate_mcfd,203.2,274.1,escalate
PA-032,WELL-015,2024-05-10T12:53:34Z,pressure_anomaly,high,water_cut_pct,4146.0,3823.3,dispatch_crew
PA-033,WELL-001,2024-01-25T05:26:30Z,hse_trigger,high,pressure_psi,2250.7,1799.1,investigate
PA-034,WELL-009,2024-05-12T03:36:47Z,water_cut_increase,medium,flow_bpd,4090.6,4756.2,escalate
PA-035,WELL-008,2024-02-15T11:43:16Z,hse_trigger,high,flow_bpd,1439.7,2035.8,escalate
PA-036,WELL-020,2024-02-10T14:24:46Z,decline_deviation,medium,vibration_mm_s,2010.6,2780.5,log_only
PA-037,WELL-017,2024-04-05T22:15:34Z,gas_lift_failure,medium,vibration_mm_s,3707.1,4466.9,log_only
PA-038,WELL-019,2024-02-04T02:01:25Z,pressure_anomaly,medium,vibration_mm_s,372.0,310.1,log_only
PA-039,WELL-008,2024-06-20T01:46:19Z,flow_restriction,medium,vibration_mm_s,164.4,242.1,escalate
PA-040,WELL-018,2024-04-29T07:34:30Z,flow_restriction,critical,flow_bpd,4692.6,5522.6,escalate
PA-041,WELL-002,2024-06-14T19:16:30Z,water_cut_increase,critical,water_cut_pct,1406.5,1704.9,increase_monitoring
PA-042,WELL-016,2024-03-11T04:34:51Z,decline_deviation,medium,flow_bpd,1425.8,1394.5,increase_monitoring
PA-043,WELL-011,2024-01-02T00:02:38Z,equipment_failure,medium,temperature_f,455.0,507.2,investigate
PA-044,WELL-008,2024-05-13T21:31:51Z,equipment_failure,low,pressure_psi,1024.5,918.3,investigate
PA-045,WELL-004,2024-01-06T09:53:47Z,hse_trigger,critical,flow_bpd,2983.0,3471.2,auto_shutdown
PA-046,WELL-009,2024-02-17T23:49:08Z,pressure_anomaly,critical,pressure_psi,4796.1,6471.2,auto_shutdown
PA-047,WELL-017,2024-06-03T04:49:33Z,ESP_trip,low,gas_rate_mcfd,3116.9,4013.6,escalate
PA-048,WELL-015,2024-04-22T10:01:48Z,pressure_anomaly,low,flow_bpd,4587.7,4310.9,escalate
PA-049,WELL-003,2024-05-31T23:23:45Z,gas_lift_failure,low,water_cut_pct,321.2,369.3,increase_monitoring
PA-050,WELL-003,2024-01-20T18:33:03Z,decline_deviation,low,temperature_f,4257.2,4093.4,log_only
PA-051,WELL-014,2024-02-15T06:22:50Z,decline_deviation,critical,water_cut_pct,2347.8,2313.3,log_only
PA-052,WELL-020,2024-01-20T15:59:21Z,water_cut_increase,low,water_cut_pct,2610.2,2947.0,investigate
PA-053,WELL-004,2024-01-03T09:16:08Z,pressure_anomaly,medium,gas_rate_mcfd,673.6,712.7,auto_shutdown
PA-054,WELL-014,2024-04-03T11:29:00Z,hse_trigger,medium,pressure_psi,731.5,467.9,dispatch_crew
PA-055,WELL-010,2024-04-23T12:04:16Z,equipment_failure,high,temperature_f,2939.1,3194.9,dispatch_crew
PA-056,WELL-005,2024-04-01T04:08:21Z,flow_restriction,high,temperature_f,1875.7,1139.1,log_only
PA-057,WELL-005,2024-01-12T03:07:10Z,ESP_trip,low,water_cut_pct,1751.9,2590.8,escalate
PA-058,WELL-007,2024-06-01T11:35:40Z,pressure_anomaly,high,pressure_psi,3355.9,4112.0,increase_monitoring
PA-059,WELL-020,2024-05-14T10:52:56Z,water_cut_increase,high,gas_rate_mcfd,1533.2,1373.4,investigate
PA-060,WELL-015,2024-06-19T02:56:50Z,decline_deviation,critical,pressure_psi,4603.8,5409.0,escalate
PA-061,WELL-008,2024-03-31T14:13:07Z,ESP_trip,medium,water_cut_pct,3686.2,5372.0,auto_shutdown
PA-062,WELL-013,2024-02-09T20:50:36Z,equipment_failure,medium,flow_bpd,1845.9,1230.0,investigate
PA-063,WELL-018,2024-01-23T08:49:15Z,gas_lift_failure,high,water_cut_pct,1012.3,1141.0,auto_shutdown
PA-064,WELL-002,2024-01-06T18:20:41Z,ESP_trip,medium,temperature_f,912.0,1273.9,escalate
PA-065,WELL-006,2024-03-06T23:39:51Z,ESP_trip,medium,pressure_psi,156.4,212.5,investigate
PA-066,WELL-001,2024-06-10T10:49:04Z,gas_lift_failure,critical,vibration_mm_s,3947.7,2762.9,dispatch_crew
PA-067,WELL-010,2024-03-29T14:03:47Z,ESP_trip,high,temperature_f,3321.5,4806.4,log_only
PA-068,WELL-014,2024-06-19T13:35:02Z,pressure_anomaly,low,pressure_psi,4419.5,3171.9,dispatch_crew
PA-069,WELL-007,2024-04-13T09:53:05Z,equipment_failure,high,temperature_f,3017.8,4464.2,dispatch_crew
PA-070,WELL-002,2024-05-28T04:13:17Z,ESP_trip,high,pressure_psi,1672.0,1083.3,auto_shutdown
PA-071,WELL-005,2024-06-14T08:17:23Z,hse_trigger,medium,vibration_mm_s,453.0,463.7,escalate
PA-072,WELL-020,2024-01-13T14:19:49Z,gas_lift_failure,critical,vibration_mm_s,3768.1,3530.1,log_only
PA-073,WELL-015,2024-02-04T18:11:36Z,water_cut_increase,high,gas_rate_mcfd,3487.8,4339.1,increase_monitoring
PA-074,WELL-016,2024-02-22T02:32:01Z,equipment_failure,low,pressure_psi,1136.7,889.7,dispatch_crew
PA-075,WELL-013,2024-02-12T10:43:14Z,flow_restriction,critical,water_cut_pct,2878.3,4150.4,auto_shutdown
PA-076,WELL-009,2024-04-16T21:45:29Z,pressure_anomaly,medium,flow_bpd,1510.5,1611.6,dispatch_crew
PA-077,WELL-019,2024-01-08T23:44:23Z,hse_trigger,high,water_cut_pct,2283.2,2258.7,auto_shutdown
PA-078,WELL-016,2024-03-02T13:25:20Z,flow_restriction,critical,flow_bpd,938.9,760.9,escalate
PA-079,WELL-003,2024-03-10T17:29:39Z,pressure_anomaly,high,gas_rate_mcfd,2588.3,3052.4,auto_shutdown
PA-080,WELL-008,2024-01-20T02:37:10Z,pressure_anomaly,low,temperature_f,239.5,186.9,dispatch_crew
