project_id,name,type,value,start_date,est_completion,owner,gc_name,status,contract_type,city,state
PRJ-001,Harborview Tower,High-Rise Commercial,185000000,2024-06-01,2026-12-31,Harborview Development LLC,BuildCorp GC,Active,GMP,Boston,MA
PRJ-002,Riverfront Medical Center,Healthcare,320000000,2024-03-15,2027-06-30,Southeast Health Systems,BuildCorp GC,Active,Cost Plus,Atlanta,GA
PRJ-003,Pacific Innovation Campus,Tech Office,145000000,2024-09-01,2026-09-30,PacificTech Inc,BuildCorp GC,Active,Lump Sum,San Francisco,CA
PRJ-004,Magnolia Gardens Mixed-Use,Mixed-Use Residential,92000000,2025-01-15,2027-01-31,Magnolia Urban Partners,BuildCorp GC,Active,GMP,Charlotte,NC
PRJ-005,Westside Transit Hub,Infrastructure,210000000,2024-07-01,2027-03-31,Metro Transit Authority,BuildCorp GC,Active,Design-Build,Portland,OR
PRJ-006,Heartland Distribution Center,Industrial,68000000,2025-03-01,2026-06-30,Heartland Logistics Corp,BuildCorp GC,Active,Lump Sum,Indianapolis,IN
PRJ-007,Beacon Hill School,Education,55000000,2025-02-01,2026-08-31,Boston Public Schools,BuildCorp GC,Active,CM at Risk,Boston,MA
PRJ-008,Savannah Luxury Resort,Hospitality,175000000,2024-11-01,2027-04-30,Coastal Hospitality Group,BuildCorp GC,Active,GMP,Savannah,GA
PRJ-009,Prairie Wind Data Center,Data Center,250000000,2024-08-01,2026-10-31,CloudScale Technologies,BuildCorp GC,Active,Design-Build,Chicago,IL
PRJ-010,Sierra Solar Farm,Renewable Energy,42000000,2025-04-01,2026-03-31,Sierra Green Energy,BuildCorp GC,Active,EPC,Fresno,CA
PRJ-011,Heritage Lofts Renovation,Renovation,28000000,2025-05-01,2026-04-30,Heritage Properties LLC,BuildCorp GC,Active,Cost Plus,Providence,RI
PRJ-012,Lakeview Senior Living,Senior Living,78000000,2025-01-01,2026-11-30,Lakeview Senior Care Inc,BuildCorp GC,Active,GMP,Milwaukee,WI
