tracking_id,unit_id,timestamp,event_type,market_id,previous_status,new_status,reason,doc_time_min
TRK-0001,UNIT-010,2026-02-27T08:19:00Z,maintenance,MKT-002,held,booked,lease_expired,44
TRK-0002,UNIT-030,2026-02-26T08:39:00Z,hold_placed,MKT-005,offline,held,lease_expired,32
TRK-0003,UNIT-041,2026-02-28T13:40:00Z,onboarding,MKT-002,held,maintenance,campaign_end,37
TRK-0004,UNIT-038,2026-03-26T17:49:00Z,hold_placed,MKT-001,booked,pending_approval,seasonal_adjustment,51
TRK-0005,UNIT-043,2026-02-25T17:09:00Z,onboarding,MKT-003,pending_approval,held,campaign_end,21
TRK-0006,UNIT-017,2026-02-28T10:51:00Z,hold_released,MKT-003,offline,maintenance,structural_repair,46
TRK-0007,UNIT-050,2026-03-28T17:42:00Z,hold_placed,MKT-005,held,booked,new_lease,24
TRK-0008,UNIT-014,2026-02-24T10:10:00Z,hold_placed,MKT-003,available,maintenance,lease_expired,13
TRK-0009,UNIT-009,2026-03-28T14:42:00Z,hold_placed,MKT-002,booked,maintenance,seasonal_adjustment,17
TRK-0010,UNIT-016,2026-03-28T14:49:00Z,hold_placed,MKT-003,pending_approval,maintenance,structural_repair,29
TRK-0011,UNIT-054,2026-03-28T16:05:00Z,hold_released,MKT-006,held,booked,campaign_end,55
TRK-0012,UNIT-010,2026-03-27T15:44:00Z,reactivation,MKT-002,booked,available,seasonal_adjustment,37
TRK-0013,UNIT-042,2026-02-26T08:55:00Z,status_change,MKT-002,maintenance,booked,permit_issue,23
TRK-0014,UNIT-040,2026-02-28T14:23:00Z,offboarding,MKT-002,pending_approval,available,campaign_start,38
TRK-0015,UNIT-024,2026-02-28T08:37:00Z,status_change,MKT-004,booked,available,structural_repair,26
TRK-0016,UNIT-033,2026-03-24T08:41:00Z,status_change,MKT-006,pending_approval,maintenance,permit_issue,12
TRK-0017,UNIT-045,2026-03-26T08:36:00Z,reactivation,MKT-003,available,offline,vandalism_repair,50
TRK-0018,UNIT-030,2026-02-27T15:47:00Z,reactivation,MKT-005,pending_approval,offline,lease_expired,12
TRK-0019,UNIT-024,2026-02-24T10:55:00Z,reactivation,MKT-004,held,available,permit_issue,17
TRK-0020,UNIT-004,2026-02-27T13:06:00Z,reactivation,MKT-001,offline,booked,campaign_start,51
TRK-0021,UNIT-040,2026-03-24T13:57:00Z,maintenance,MKT-002,held,pending_approval,structural_repair,43
TRK-0022,UNIT-001,2026-03-27T08:04:00Z,offboarding,MKT-001,offline,held,campaign_end,15
TRK-0023,UNIT-012,2026-02-27T12:38:00Z,offboarding,MKT-002,pending_approval,offline,permit_issue,21
TRK-0024,UNIT-041,2026-03-24T12:35:00Z,status_change,MKT-002,available,maintenance,digital_upgrade,46
TRK-0025,UNIT-054,2026-03-24T09:07:00Z,onboarding,MKT-006,held,available,client_hold,30
TRK-0026,UNIT-038,2026-02-24T08:13:00Z,maintenance,MKT-001,booked,offline,lease_expired,25
TRK-0027,UNIT-020,2026-02-25T12:03:00Z,hold_placed,MKT-004,pending_approval,booked,client_hold,27
TRK-0028,UNIT-009,2026-03-28T14:14:00Z,reactivation,MKT-002,held,maintenance,campaign_start,21
TRK-0029,UNIT-019,2026-03-26T12:05:00Z,hold_placed,MKT-004,booked,pending_approval,structural_repair,32
TRK-0030,UNIT-050,2026-03-28T10:02:00Z,reactivation,MKT-005,offline,maintenance,client_hold,44
TRK-0031,UNIT-037,2026-03-25T13:41:00Z,reactivation,MKT-001,pending_approval,booked,campaign_start,31
TRK-0032,UNIT-045,2026-03-28T09:32:00Z,reactivation,MKT-003,held,maintenance,campaign_start,39
TRK-0033,UNIT-017,2026-02-24T16:42:00Z,maintenance,MKT-003,held,offline,client_hold,39
TRK-0034,UNIT-038,2026-03-26T17:24:00Z,maintenance,MKT-001,offline,available,structural_repair,54
TRK-0035,UNIT-007,2026-02-26T10:26:00Z,hold_placed,MKT-002,booked,maintenance,lease_expired,21
TRK-0036,UNIT-059,2026-03-26T10:29:00Z,hold_released,MKT-005,held,available,digital_upgrade,49
TRK-0037,UNIT-030,2026-03-28T14:30:00Z,reactivation,MKT-005,held,maintenance,structural_repair,48
TRK-0038,UNIT-022,2026-03-27T12:02:00Z,offboarding,MKT-004,offline,available,permit_issue,37
TRK-0039,UNIT-050,2026-03-26T17:01:00Z,offboarding,MKT-005,offline,held,campaign_end,48
TRK-0040,UNIT-045,2026-02-28T17:48:00Z,offboarding,MKT-003,held,maintenance,new_lease,15
TRK-0041,UNIT-020,2026-03-25T15:25:00Z,offboarding,MKT-004,maintenance,available,client_hold,22
TRK-0042,UNIT-057,2026-03-25T12:05:00Z,offboarding,MKT-002,held,booked,permit_issue,15
TRK-0043,UNIT-047,2026-02-25T16:54:00Z,reactivation,MKT-004,booked,available,digital_upgrade,20
TRK-0044,UNIT-023,2026-03-24T16:43:00Z,hold_placed,MKT-004,pending_approval,held,digital_upgrade,52
TRK-0045,UNIT-025,2026-02-27T09:24:00Z,offboarding,MKT-005,booked,held,permit_issue,30
TRK-0046,UNIT-058,2026-03-26T17:25:00Z,hold_released,MKT-003,available,maintenance,digital_upgrade,52
TRK-0047,UNIT-048,2026-02-28T11:56:00Z,hold_released,MKT-004,held,booked,structural_repair,33
TRK-0048,UNIT-022,2026-02-28T17:38:00Z,reactivation,MKT-004,maintenance,available,campaign_start,18
TRK-0049,UNIT-032,2026-02-25T11:19:00Z,hold_placed,MKT-006,available,maintenance,permit_issue,51
TRK-0050,UNIT-012,2026-02-27T12:19:00Z,hold_placed,MKT-002,pending_approval,maintenance,new_lease,26
TRK-0051,UNIT-027,2026-02-25T14:43:00Z,hold_released,MKT-005,available,offline,lease_expired,32
TRK-0052,UNIT-044,2026-03-24T08:10:00Z,status_change,MKT-003,held,pending_approval,seasonal_adjustment,34
TRK-0053,UNIT-044,2026-02-27T15:41:00Z,maintenance,MKT-003,maintenance,offline,new_lease,29
TRK-0054,UNIT-028,2026-02-26T17:51:00Z,reactivation,MKT-005,maintenance,pending_approval,structural_repair,40
TRK-0055,UNIT-046,2026-03-26T09:50:00Z,offboarding,MKT-004,maintenance,pending_approval,permit_issue,53
TRK-0056,UNIT-006,2026-02-25T13:59:00Z,maintenance,MKT-001,offline,booked,campaign_start,42
TRK-0057,UNIT-053,2026-03-28T14:03:00Z,hold_placed,MKT-006,booked,available,lease_expired,41
TRK-0058,UNIT-030,2026-02-26T17:43:00Z,status_change,MKT-005,booked,offline,structural_repair,53
TRK-0059,UNIT-019,2026-03-24T10:18:00Z,status_change,MKT-004,maintenance,available,digital_upgrade,30
TRK-0060,UNIT-020,2026-02-24T13:46:00Z,onboarding,MKT-004,offline,maintenance,campaign_start,21
TRK-0061,UNIT-006,2026-02-28T10:46:00Z,offboarding,MKT-001,pending_approval,maintenance,permit_issue,27
TRK-0062,UNIT-023,2026-02-27T16:36:00Z,hold_placed,MKT-004,available,held,structural_repair,33
TRK-0063,UNIT-003,2026-02-25T14:32:00Z,maintenance,MKT-001,available,maintenance,campaign_end,37
TRK-0064,UNIT-026,2026-02-24T12:46:00Z,maintenance,MKT-005,pending_approval,available,permit_issue,17
TRK-0065,UNIT-051,2026-03-25T12:39:00Z,hold_released,MKT-005,offline,held,new_lease,33
TRK-0066,UNIT-037,2026-02-27T14:17:00Z,maintenance,MKT-001,pending_approval,held,campaign_end,42
TRK-0067,UNIT-043,2026-03-24T10:43:00Z,status_change,MKT-003,booked,available,permit_issue,23
TRK-0068,UNIT-002,2026-02-27T12:17:00Z,hold_placed,MKT-001,offline,booked,lease_expired,24
TRK-0069,UNIT-015,2026-03-24T11:04:00Z,hold_released,MKT-003,booked,pending_approval,digital_upgrade,47
TRK-0070,UNIT-027,2026-03-28T16:24:00Z,hold_placed,MKT-005,offline,available,structural_repair,31
TRK-0071,UNIT-021,2026-03-26T10:29:00Z,reactivation,MKT-004,pending_approval,maintenance,campaign_start,44
TRK-0072,UNIT-045,2026-03-25T12:25:00Z,onboarding,MKT-003,pending_approval,offline,lease_expired,50
TRK-0073,UNIT-032,2026-03-28T09:13:00Z,maintenance,MKT-006,offline,booked,campaign_end,28
TRK-0074,UNIT-049,2026-03-26T15:01:00Z,offboarding,MKT-005,offline,pending_approval,client_hold,49
TRK-0075,UNIT-023,2026-03-28T14:48:00Z,onboarding,MKT-004,booked,pending_approval,digital_upgrade,25
TRK-0076,UNIT-025,2026-02-28T14:38:00Z,reactivation,MKT-005,available,held,permit_issue,23
TRK-0077,UNIT-014,2026-03-24T10:55:00Z,offboarding,MKT-003,pending_approval,maintenance,seasonal_adjustment,36
TRK-0078,UNIT-023,2026-03-25T17:17:00Z,status_change,MKT-004,booked,available,structural_repair,42
TRK-0079,UNIT-035,2026-03-28T11:54:00Z,hold_placed,MKT-006,maintenance,offline,campaign_end,38
TRK-0080,UNIT-011,2026-03-25T12:00:00Z,hold_released,MKT-002,booked,offline,client_hold,53
