rfi_id,supervisor_id,project_id,timestamp,question,status,response_time_hours,doc_time_min,trade
RFI-001,SUP-001,PRJ-001,2026-02-24T08:45:15,Clarification on structural steel connection detail at level 24,Closed,18.5,45,Structural Steel
RFI-002,SUP-001,PRJ-001,2026-02-25T09:30:00,Curtainwall anchor spacing deviation from spec at floors 18-20,Open,0,52,Curtainwall/Glazing
RFI-003,SUP-002,PRJ-001,2026-02-26T10:15:22,HVAC duct routing conflict with fire sprinkler main level 16,Closed,24.0,38,Mechanical/HVAC
RFI-004,SUP-002,PRJ-001,2026-02-28T08:30:00,Elevator machine room ventilation CFM requirement clarification,Closed,12.0,32,Elevator
RFI-005,SUP-001,PRJ-001,2026-03-02T09:45:15,Post-tension anchor zone reinforcement detail at level 25,Closed,36.0,55,Concrete
RFI-006,SUP-007,PRJ-001,2026-03-04T07:30:00,Fall protection anchor point locations for curtainwall crew,Open,0,28,Safety
RFI-007,SUP-001,PRJ-001,2026-03-06T08:15:22,Mechanical penthouse waterproofing membrane transition detail,Closed,16.5,42,Roofing
RFI-008,SUP-001,PRJ-001,2026-03-09T10:00:30,Roof steel connection to existing concrete core coordination,Open,0,48,Structural Steel
RFI-009,SUP-003,PRJ-002,2026-02-24T09:00:00,Med gas piping routing through structural beam web openings,Closed,22.0,55,Medical Gas
RFI-010,SUP-003,PRJ-002,2026-02-25T08:30:15,Operating room laminar flow diffuser location confirmation,Closed,8.0,48,Mechanical/HVAC
RFI-011,SUP-004,PRJ-002,2026-02-27T07:45:22,Concrete mix design for radiation shielding walls,Closed,48.0,62,Concrete
RFI-012,SUP-003,PRJ-002,2026-03-02T08:15:00,Clean room pressure cascade specification clarification,Open,0,58,Mechanical/HVAC
RFI-013,SUP-004,PRJ-002,2026-03-04T09:30:30,Emergency generator fuel line routing through parking garage,Closed,14.0,42,Electrical
RFI-014,SUP-003,PRJ-002,2026-03-06T07:50:15,Helipad structural loading requirements with medical equipment,Closed,72.0,65,Structural Steel
RFI-015,SUP-003,PRJ-002,2026-03-09T10:30:00,MRI room RF shielding door frame continuity detail,Open,0,52,Specialty
RFI-016,SUP-004,PRJ-002,2026-03-10T08:00:22,Parking structure post-tension profile deviation at level 3,Closed,16.0,45,Concrete
RFI-017,SUP-005,PRJ-003,2026-02-24T08:30:22,Raised floor load capacity for server rack layout revision,Closed,6.0,35,Data/Low Voltage
