survey_id,facility_id,engineer_id,date,audit_score,jv_partner_rating,regulatory_compliance_pct
OS-001,FAC-001,ENG-010,2024-06-23,77.0,4.7,93.8
OS-002,FAC-002,ENG-010,2024-02-22,91.1,3.1,96.3
OS-003,FAC-003,ENG-004,2024-06-06,94.3,4.5,97.3
OS-004,FAC-004,ENG-024,2024-06-14,85.7,3.5,95.7
OS-005,FAC-005,ENG-023,2024-03-14,89.4,3.1,87.6
OS-006,FAC-006,ENG-014,2024-06-24,78.8,4.1,80.3
OS-007,FAC-007,ENG-009,2024-02-21,87.4,4.6,97.4
OS-008,FAC-008,ENG-008,2024-06-11,89.7,4.3,95.1
OS-009,FAC-001,ENG-018,2024-06-03,75.5,4.4,83.9
OS-010,FAC-002,ENG-015,2024-02-15,97.5,3.1,99.2
OS-011,FAC-003,ENG-024,2024-05-11,73.3,3.1,85.6
OS-012,FAC-004,ENG-009,2024-02-03,74.5,4.7,80.1
OS-013,FAC-005,ENG-015,2024-02-09,71.1,4.9,91.9
OS-014,FAC-006,ENG-025,2024-06-09,87.2,4.3,89.8
OS-015,FAC-007,ENG-019,2024-05-20,80.0,4.6,86.4
