survey_id,producer_id,date,production_fatigue_score,admin_burden_score,deadline_pressure,overtime_hours,creative_satisfaction,work_life_balance,burnout_risk
WS-001,PRD-001,2026-03-15,7.2,8.5,8.0,12,5.5,4.0,High
WS-002,PRD-002,2026-03-15,5.0,6.2,5.5,4,7.0,6.5,Medium
WS-003,PRD-003,2026-03-15,6.8,7.8,7.5,10,5.8,4.5,High
WS-004,PRD-004,2026-03-15,4.2,5.5,4.8,2,7.5,7.0,Low
WS-005,PRD-005,2026-03-15,6.5,7.0,8.2,8,6.0,5.0,Medium
WS-006,PRD-006,2026-03-15,7.0,8.2,7.0,11,5.2,4.2,High
WS-007,PRD-007,2026-03-15,5.5,6.8,6.0,6,6.5,5.8,Medium
WS-008,PRD-008,2026-03-15,4.8,5.8,5.0,3,7.2,6.8,Low
WS-009,PRD-009,2026-03-15,5.2,6.5,5.5,5,6.8,6.0,Medium
WS-010,PRD-010,2026-03-15,7.5,9.0,7.8,14,4.8,3.5,Critical
WS-011,PRD-011,2026-03-15,7.0,8.8,7.5,12,5.0,3.8,High
WS-012,PRD-012,2026-03-15,6.8,8.5,7.0,10,5.5,4.2,High
WS-013,PRD-013,2026-03-15,3.8,4.5,4.0,1,8.0,7.5,Low
WS-014,PRD-014,2026-03-15,3.5,4.2,3.8,0,8.2,8.0,Low
WS-015,PRD-015,2026-03-15,7.8,8.8,8.5,15,4.5,3.2,Critical
WS-016,PRD-016,2026-03-15,4.5,5.2,4.5,2,7.5,7.2,Low
WS-017,PRD-017,2026-03-15,6.0,6.5,7.8,7,6.2,5.5,Medium
WS-018,PRD-018,2026-03-15,3.2,4.0,3.5,0,8.5,8.2,Low
WS-019,PRD-019,2026-03-15,5.8,7.0,6.2,6,6.0,5.5,Medium
WS-020,PRD-020,2026-03-15,4.0,4.8,4.2,1,7.8,7.5,Low
WS-021,PRD-021,2026-03-15,6.2,7.5,6.8,8,5.8,5.0,Medium
WS-022,PRD-022,2026-03-15,7.2,8.5,7.2,12,5.0,4.0,High
WS-023,PRD-023,2026-03-15,4.0,5.0,4.5,2,7.5,7.0,Low
WS-024,PRD-024,2026-03-15,5.5,6.5,5.8,5,6.5,6.2,Medium
WS-025,PRD-025,2026-03-15,6.5,8.0,6.0,8,5.5,4.8,High
