handoff_id,show_id,from_role,to_role,timestamp,asset_count,doc_time_min,notes_length
HO-001,SHW-001,Senior Producer,Editor,2026-03-01T09:00:00.445Z,3,25,450
HO-002,SHW-001,Editor,QC Supervisor,2026-03-01T14:00:00.112Z,3,18,320
HO-003,SHW-005,Executive Producer,Editor,2026-03-01T09:30:00.778Z,2,30,580
HO-004,SHW-005,Editor,VFX Supervisor,2026-03-01T15:00:00.334Z,2,35,720
HO-005,SHW-002,Producer,Editor,2026-03-01T10:00:00.667Z,1,12,180
HO-006,SHW-003,Producer,Editor,2026-03-02T09:00:00.223Z,4,28,410
HO-007,SHW-009,Producer,Rights Manager,2026-03-02T10:30:00.890Z,2,22,380
HO-008,SHW-009,Rights Manager,Compliance Officer,2026-03-02T14:30:00.445Z,2,40,650
HO-009,SHW-012,Associate Producer,Editor,2026-03-02T11:00:00.112Z,6,8,120
HO-010,SHW-001,QC Supervisor,Senior Producer,2026-03-03T09:00:00.778Z,3,15,280
HO-011,SHW-005,VFX Supervisor,Editor,2026-03-03T10:00:00.334Z,2,32,600
HO-012,SHW-005,Editor,Rights Manager,2026-03-03T14:00:00.667Z,2,28,520
HO-013,SHW-010,Compliance Officer,Producer,2026-03-03T11:30:00.223Z,1,45,890
HO-014,SHW-001,Senior Producer,Rights Manager,2026-03-04T09:00:00.890Z,3,20,350
HO-015,SHW-001,Rights Manager,Compliance Officer,2026-03-04T13:00:00.445Z,3,38,620
HO-016,SHW-005,Rights Manager,Executive Producer,2026-03-04T11:00:00.112Z,2,25,480
HO-017,SHW-002,Editor,QC Supervisor,2026-03-04T10:30:00.778Z,1,10,150
HO-018,SHW-004,Producer,Editor,2026-03-04T09:30:00.334Z,2,18,290
HO-019,SHW-006,Producer,Editor,2026-03-05T09:00:00.667Z,3,22,360
HO-020,SHW-008,Producer,Editor,2026-03-05T10:00:00.223Z,2,15,240
HO-021,SHW-001,Compliance Officer,Senior Producer,2026-03-06T09:00:00.890Z,3,12,220
HO-022,SHW-005,Executive Producer,Editor,2026-03-06T10:00:00.445Z,2,28,540
HO-023,SHW-003,Editor,QC Supervisor,2026-03-06T11:00:00.112Z,4,20,310
HO-024,SHW-009,Compliance Officer,Producer,2026-03-07T09:30:00.778Z,2,35,580
HO-025,SHW-001,Senior Producer,Editor,2026-03-08T08:30:00.334Z,3,22,400
HO-026,SHW-005,Editor,VFX Supervisor,2026-03-08T09:30:00.667Z,2,30,550
HO-027,SHW-001,Editor,QC Supervisor,2026-03-09T09:00:00.223Z,3,16,290
HO-028,SHW-001,QC Supervisor,Senior Producer,2026-03-10T09:00:00.890Z,3,14,260
HO-029,SHW-005,VFX Supervisor,Editor,2026-03-10T10:00:00.445Z,2,35,680
HO-030,SHW-002,QC Supervisor,Producer,2026-03-10T10:30:00.112Z,1,12,180
HO-031,SHW-003,QC Supervisor,Producer,2026-03-10T11:00:00.778Z,4,18,310
HO-032,SHW-001,Senior Producer,Rights Manager,2026-03-11T09:00:00.334Z,3,22,380
HO-033,SHW-005,Editor,Rights Manager,2026-03-11T10:00:00.667Z,2,30,560
HO-034,SHW-009,Producer,Editor,2026-03-11T09:30:00.223Z,2,18,320
HO-035,SHW-001,Rights Manager,Compliance Officer,2026-03-12T09:00:00.890Z,3,42,720
HO-036,SHW-001,Compliance Officer,Metadata Specialist,2026-03-12T13:00:00.445Z,3,15,280
HO-037,SHW-005,Rights Manager,Executive Producer,2026-03-13T10:00:00.112Z,2,28,500
HO-038,SHW-001,Metadata Specialist,Senior Producer,2026-03-15T09:00:00.778Z,3,20,340
HO-039,SHW-001,Senior Producer,Delivery,2026-03-17T13:30:00.334Z,3,35,620
HO-040,SHW-005,Executive Producer,Delivery,2026-03-19T13:30:00.667Z,2,42,780
