unit_id,name,type,market_id,address,lat,lng,faces,illuminated,digital,size,monthly_rate
UNIT-001,I-95 North Gateway,bulletin,MKT-001,I-95 Northbound MP 42,40.7831,-73.9712,2,true,false,14x48,18500
UNIT-002,Times Sq Digital Tower,digital_billboard,MKT-001,1500 Broadway,40.7580,-73.9855,1,true,true,20x60,45000
UNIT-003,FDR Drive South,bulletin,MKT-001,FDR Drive Southbound MP 8,40.7489,-73.9680,2,true,false,14x48,16000
UNIT-004,Penn Station Transit,transit_shelter,MKT-001,33rd St & 7th Ave,40.7506,-73.9935,4,true,true,6x4,8500
UNIT-005,Brooklyn Bridge Approach,bulletin,MKT-001,Tillary St & Adams St,40.6945,-73.9898,1,true,false,10x36,12000
UNIT-006,Holland Tunnel Entry,poster,MKT-001,Varick St & Canal St,40.7256,-74.0072,2,true,false,12x24,9800
UNIT-007,Lake Shore Drive North,bulletin,MKT-002,Lake Shore Dr NB MP 12,41.8991,-87.6194,2,true,false,14x48,14500
UNIT-008,Magnificent Mile Digital,digital_billboard,MKT-002,900 N Michigan Ave,41.8992,-87.6240,1,true,true,15x50,38000
UNIT-009,I-90/94 Kennedy Expy,bulletin,MKT-002,I-90/94 WB MP 45,41.9200,-87.7100,2,true,false,14x48,15200
UNIT-010,CTA Blue Line Clark,transit_shelter,MKT-002,Clark & Lake Station,41.8858,-87.6311,6,true,true,6x4,7200
UNIT-011,O'Hare Connector,poster,MKT-002,I-190 Eastbound,41.9742,-87.8367,2,true,false,12x24,8900
UNIT-012,Wacker Drive Riverwalk,street_furniture,MKT-002,Upper Wacker Dr & LaSalle,41.8871,-87.6325,2,true,true,6x4,6500
UNIT-013,Sunset Blvd Spectacular,bulletin,MKT-003,8500 Sunset Blvd,34.0936,-118.3777,1,true,true,20x60,42000
UNIT-014,Hollywood & Highland,digital_billboard,MKT-003,6801 Hollywood Blvd,34.1016,-118.3388,1,true,true,15x50,35000
UNIT-015,I-405 South Billboard,bulletin,MKT-003,I-405 SB MP 38,33.9800,-118.4000,2,true,false,14x48,16800
UNIT-016,Santa Monica Blvd,poster,MKT-003,Santa Monica & La Brea,34.0900,-118.3440,2,true,false,12x24,9200
UNIT-017,Metro Rail Expo Line,transit_shelter,MKT-003,Expo/Western Station,34.0184,-118.3091,4,true,true,6x4,6800
UNIT-018,Venice Beach Boardwalk,street_furniture,MKT-003,1500 Ocean Front Walk,33.9872,-118.4730,2,true,false,6x4,5500
UNIT-019,I-10 Katy Freeway,bulletin,MKT-004,I-10 WB MP 762,29.7800,-95.5600,2,true,false,14x48,11500
UNIT-020,Galleria Digital Hub,digital_billboard,MKT-004,5085 Westheimer Rd,29.7388,-95.4618,1,true,true,15x50,28000
UNIT-021,I-45 North Freeway,bulletin,MKT-004,I-45 NB MP 50,29.8400,-95.3900,2,true,false,14x48,10800
UNIT-022,Metro Red Line Downtown,transit_shelter,MKT-004,Main St Square Station,29.7525,-95.3620,4,true,true,6x4,5200
UNIT-023,Westheimer Road,poster,MKT-004,Westheimer & Montrose,29.7420,-95.3930,2,true,false,12x24,7100
UNIT-024,Heights Bike Trail,street_furniture,MKT-004,White Oak Dr & Heights Blvd,29.7900,-95.3980,2,true,false,6x4,4200
UNIT-025,I-75 North Connector,bulletin,MKT-005,I-75 NB MP 258,33.8600,-84.3600,2,true,false,14x48,12200
UNIT-026,Peachtree Digital Center,digital_billboard,MKT-005,3500 Peachtree Rd NE,33.8487,-84.3634,1,true,true,15x50,30000
UNIT-027,I-285 Perimeter,bulletin,MKT-005,I-285 EB MP 30,33.9100,-84.2800,2,true,false,14x48,11000
UNIT-028,MARTA Buckhead Station,transit_shelter,MKT-005,3360 Peachtree Rd NE,33.8480,-84.3680,4,true,true,6x4,5800
UNIT-029,Ponce City Market,street_furniture,MKT-005,675 Ponce De Leon Ave,33.7723,-84.3655,2,true,true,6x4,6200
UNIT-030,Hartsfield Airport Rd,poster,MKT-005,Airport Blvd & I-85,33.6370,-84.4280,2,true,false,12x24,8400
UNIT-031,I-4 Corridor West,bulletin,MKT-006,I-4 WB MP 68,28.5400,-81.4700,2,true,false,14x48,9800
UNIT-032,International Drive Digital,digital_billboard,MKT-006,8400 International Dr,28.4387,-81.4698,1,true,true,15x50,25000
UNIT-033,Turnpike South Entry,bulletin,MKT-006,FL Turnpike SB MP 254,28.4800,-81.4200,2,true,false,14x48,9200
UNIT-034,Lynx Central Station,transit_shelter,MKT-006,455 N Garland Ave,28.5441,-81.3790,4,true,true,6x4,4500
UNIT-035,Sand Lake Road,poster,MKT-006,Sand Lake & Turkey Lake Rd,28.4500,-81.4900,2,true,false,12x24,6100
