rca_id,outage_id,engineer_id,timestamp,root_cause_category,contributing_factors,corrective_actions,doc_time_min,preventive_measures,review_status,pages_written
RCA-001,OUT-001,ENG-001,2026-02-25T10:00:00Z,External Damage,Third-party contractor hit fiber during excavation without calling 811,Emergency splice completed; contractor notification process reviewed,240,Install conduit markers; update GIS maps; enhance 811 coordination,Approved,12
RCA-002,OUT-002,ENG-004,2026-02-26T14:00:00Z,Hardware Failure,Linecard ASIC failure due to manufacturing defect batch,Linecard replaced under warranty; firmware updated to latest,180,Proactive linecard audit on same batch; spare inventory increase,Approved,8
RCA-003,OUT-003,ENG-002,2026-02-28T09:00:00Z,Power,Utility company transformer failure during storm; UPS exhausted battery,Generator deployed; power restored; UPS batteries replaced,210,Install larger UPS bank; negotiate dual-feed utility service,Approved,10
RCA-004,OUT-004,ENG-017,2026-03-01T16:00:00Z,Configuration,BGP neighbor misconfigured during maintenance window allowed route leak,Route policy corrected; affected prefixes withdrawn and re-announced,120,Implement prefix-list filters; peer-review all BGP changes,Approved,6
RCA-005,OUT-007,ENG-011,2026-03-04T08:00:00Z,Environmental,Severe storm caused aerial fiber breaks at multiple spans,Multi-crew cable restoration over 3 days with temp splices then permanent,240,Assess underground reroute for vulnerable aerial spans; add slack loops,In Review,14
RCA-006,OUT-009,ENG-004,2026-03-06T14:00:00Z,Security,Volumetric DDoS attack from botnet targeting edge infrastructure,ACLs deployed at edge; upstream blackhole routing engaged; scrubbing activated,150,Deploy always-on DDoS protectionservice; increase scrubbing capacity,Approved,9
RCA-007,OUT-012,ENG-001,2026-03-09T10:00:00Z,External Damage,Vehicle accident damaged underground fiber conduit and cable,Emergency splice with traffic reroute to protect path during repair,230,Install bollards at vulnerable roadside locations; route diversification,Approved,11
RCA-008,OUT-014,ENG-014,2026-03-10T16:00:00Z,Power,Lightning strike caused power surge through grounding system,SPDs replaced; damaged equipment swapped; grounding system improved,190,Upgrade SPD ratings; install additional grounding rods at remote sites,In Review,10
RCA-009,OUT-016,ENG-013,2026-03-12T14:00:00Z,Environmental,Anchor drag from vessel damaged undersea cable segment,Cable ship deployed for emergency repair; traffic on alternate route,240,Improved cable route marking on maritime charts; seabed survey,Approved,16
RCA-010,OUT-020,ENG-004,2026-03-14T10:00:00Z,Security,Ransomware entered via compromised vendor VPN credentials,Isolated affected segment; restored from clean backups; credential reset,240,Zero-trust VPN access; vendor credential rotation policy; EDR deploy,In Review,18
RCA-011,OUT-025,ENG-004,2026-03-17T14:00:00Z,Power,Cascading utility failure affected multiple CO locations simultaneously,Generators deployed at all sites; load shedding on non-critical equipment,240,Distributed energy storage; automatic transfer switch upgrades,Approved,13
RCA-012,OUT-030,ENG-013,2026-03-20T10:00:00Z,Hardware Failure,DWDM transponder laser end-of-life degradation below threshold,Wavelength rerouted; transponder card replaced; path validated,220,Proactive transponder lifecycle monitoring; automated threshold alerts,Approved,9
RCA-013,OUT-034,ENG-011,2026-03-21T16:00:00Z,Environmental,Ice accumulation on aerial cables caused multiple breaks and pole damage,Multi-crew emergency restoration with temporary aerial and ground routes,240,Evaluate aerial to underground conversion; ice-resistant cable specs,In Review,15
RCA-014,OUT-039,ENG-002,2026-03-23T09:00:00Z,Software,Core router OS crash due to memory leak in BGP process on specific prefix,Router recovered; OS patched to latest stable; TAC case opened,210,OS upgrade schedule acceleration; memory monitoring alerting,Approved,11
RCA-015,OUT-040,ENG-013,2026-03-23T14:00:00Z,Hardware Failure,Submarine cable repeater amplifier degradation causing signal loss,Traffic rerouted to alternate submarine path; repair ship dispatched,180,Submarine cable health monitoring enhancement; spare repeater stock,In Review,8
RCA-016,OUT-006,ENG-003,2026-03-03T14:00:00Z,Hardware Failure,EDFA pump laser degradation beyond acceptable gain flatness,EDFA module replaced; optical path re-equalized and validated,180,Proactive EDFA aging tracking; predictive replacement scheduling,Approved,8
RCA-017,OUT-011,ENG-012,2026-03-08T10:00:00Z,Environmental,HVAC compressor failure caused equipment room temperature exceedance,Portable cooling deployed; HVAC repaired; equipment health verified,140,Redundant HVAC units; temperature trending with predictive alerts,Approved,7
RCA-018,OUT-017,ENG-011,2026-03-12T10:00:00Z,Configuration,MPLS TE tunnel constraints prevented fast-reroute from computing backup,LSP manually rerouted; TE constraints relaxed; FRR paths verified,110,TE bandwidth reservation audit; FRR coverage verification tool,Approved,6
RCA-019,OUT-019,ENG-006,2026-03-13T14:00:00Z,Hardware Failure,Ethernet ring node relay stuck in incorrect state preventing auto-heal,Manual ring switch executed; relay module replaced on faulty node,160,Ring protection test schedule increase; relay module spare stock,In Review,9
RCA-020,OUT-022,ENG-012,2026-03-15T10:00:00Z,Environmental,Rain fade event on microwave link exceeded design margin,Path diversity switch to fiber backup; microwave path re-aimed,100,Increase fade margin on critical MW links; auto-diversity switching,Approved,5
RCA-021,OUT-024,ENG-014,2026-03-16T14:00:00Z,External Damage,Underground cable fault from water ingress at damaged splice closure,Cable section replaced; all splice closures in area inspected,170,Waterproof splice closure upgrade program; periodic inspection schedule,Approved,9
RCA-022,OUT-027,ENG-013,2026-03-18T10:00:00Z,Hardware Failure,OTN cross-connect card failure prevented protection switching,Cross-connect card replaced; protection switch test verified,130,Dual cross-connect architecture where single point of failure exists,Approved,7
RCA-023,OUT-029,ENG-011,2026-03-19T14:00:00Z,Software,SD-WAN controller software update caused overlay tunnel computation error,Controller rolled back; tunnels rebuilt; vendor patch obtained,120,Staged controller updates; canary deployment on non-critical sites,In Review,6
RCA-024,OUT-032,ENG-001,2026-03-21T10:00:00Z,Infrastructure Aging,Gradual fiber degradation from bend radius violations in existing route,Fiber section replaced; route re-engineered to eliminate tight bends,150,Fiber route audit program; automated OTDR monitoring for trend analysis,Approved,8
RCA-025,OUT-035,ENG-002,2026-03-22T10:00:00Z,Configuration,BGP session reset due to TTL security check mismatch after link change,GTSM TTL value corrected on both peers; session re-established,100,BGP session configuration audit tool; change management checklist,Approved,5
RCA-026,OUT-037,ENG-006,2026-03-22T14:00:00Z,Hardware Failure,Ethernet ring node switch fabric degradation causing intermittent drops,Switch replaced; ring fully healed; traffic verified across all nodes,140,Switch health monitoring dashboards; proactive hardware lifecycle mgmt,In Review,7
RCA-027,OUT-003,ENG-002,2026-03-01T10:00:00Z,Power,Follow-up analysis: UPS battery degradation masked by quarterly test gap,Added monthly battery health checks; enhanced UPS monitoring alerts,90,Monthly automated battery health tests; UPS telemetry to NMS,Approved,4
RCA-028,OUT-005,ENG-016,2026-03-02T14:00:00Z,Software,Memory leak in OSPF process triggered by specific LSA type overflow,Software patched; memory monitoring enhanced; LSA limits configured,90,OS version standardization; automated memory trending and alerting,Approved,5
RCA-029,OUT-010,ENG-014,2026-03-07T10:00:00Z,Process,Planned maintenance window overrun due to unexpected firmware compatibility,Firmware downgraded; maintenance replanned with correct compatible version,45,Pre-maintenance compatibility testing lab; firmware validation checklist,Approved,3
RCA-030,OUT-013,ENG-005,2026-03-10T10:00:00Z,Hardware Failure,SFP transceiver failure due to end-of-life wear on 10G optic,SFP replaced from spare inventory; DOM monitoring confirmed normal,50,SFP lifecycle tracking; DOM threshold alerting for early replacement,Approved,3
RCA-031,OUT-008,ENG-016,2026-03-05T10:00:00Z,Configuration,Incorrect ACL applied during change window blocking customer traffic,Config rolled back within 30 min; change reviewed and corrected,60,Mandatory change simulation in lab before production; peer review,Approved,4
