alert_id,adjuster_id,claim_id,timestamp,alert_type,severity,action_taken,investigation_time_min
FA-0001,ADJ-016,CLM-00008,2025-12-03T17:41:00Z,duplicate_claim,medium,claim_denied,17
FA-0002,ADJ-022,CLM-00047,2025-10-25T15:22:00Z,ring_pattern,medium,dismissed,210
FA-0003,ADJ-011,CLM-00059,2025-12-17T15:08:00Z,arson_suspicion,high,claim_denied,68
FA-0004,ADJ-022,CLM-00042,2025-11-16T15:51:00Z,identity_fraud,high,SIU_referred,236
FA-0005,ADJ-022,CLM-00031,2025-10-17T10:12:00Z,identity_fraud,high,investigated,166
FA-0006,ADJ-016,CLM-00020,2025-10-31T11:35:00Z,staged_accident,critical,SIU_referred,48
FA-0007,ADJ-006,CLM-00012,2025-12-04T08:51:00Z,inflated_claim,medium,investigated,94
FA-0008,ADJ-022,CLM-00036,2025-10-29T15:16:00Z,duplicate_claim,high,investigated,202
FA-0009,ADJ-022,CLM-00010,2025-12-28T16:38:00Z,inflated_claim,high,claim_denied,177
FA-0010,ADJ-025,CLM-00008,2025-10-14T17:39:00Z,inflated_claim,high,investigated,79
FA-0011,ADJ-022,CLM-00041,2025-10-16T11:58:00Z,duplicate_claim,low,SIU_referred,173
FA-0012,ADJ-016,CLM-00047,2025-10-13T10:41:00Z,duplicate_claim,medium,dismissed,30
FA-0013,ADJ-015,CLM-00027,2025-10-01T11:53:00Z,ring_pattern,medium,pending_review,36
FA-0014,ADJ-022,CLM-00024,2025-12-31T14:23:00Z,provider_fraud,low,pending_review,167
FA-0015,ADJ-005,CLM-00052,2025-11-24T14:58:00Z,suspicious_timing,critical,pending_review,116
FA-0016,ADJ-001,CLM-00029,2025-10-19T08:45:00Z,inflated_claim,low,SIU_referred,66
FA-0017,ADJ-006,CLM-00028,2025-10-08T14:48:00Z,staged_accident,high,law_enforcement_notified,34
FA-0018,ADJ-002,CLM-00041,2025-12-31T16:18:00Z,suspicious_timing,medium,law_enforcement_notified,104
FA-0019,ADJ-010,CLM-00047,2025-11-10T13:00:00Z,arson_suspicion,critical,pending_review,33
FA-0020,ADJ-015,CLM-00042,2025-10-27T16:39:00Z,ring_pattern,high,law_enforcement_notified,66
FA-0021,ADJ-029,CLM-00020,2025-10-11T08:34:00Z,duplicate_claim,medium,law_enforcement_notified,109
FA-0022,ADJ-017,CLM-00035,2025-11-06T11:05:00Z,arson_suspicion,medium,law_enforcement_notified,35
FA-0023,ADJ-022,CLM-00057,2025-12-09T17:16:00Z,provider_fraud,high,SIU_referred,168
FA-0024,ADJ-004,CLM-00047,2025-10-08T13:16:00Z,duplicate_claim,low,law_enforcement_notified,30
FA-0025,ADJ-019,CLM-00048,2025-10-01T15:21:00Z,provider_fraud,high,pending_review,87
FA-0026,ADJ-021,CLM-00043,2025-12-08T17:14:00Z,duplicate_claim,medium,law_enforcement_notified,115
FA-0027,ADJ-019,CLM-00044,2025-10-18T14:33:00Z,provider_fraud,low,pending_review,89
FA-0028,ADJ-022,CLM-00050,2025-11-16T15:06:00Z,identity_fraud,high,claim_denied,80
FA-0029,ADJ-022,CLM-00028,2025-10-17T15:13:00Z,ring_pattern,low,law_enforcement_notified,194
FA-0030,ADJ-018,CLM-00034,2025-11-20T12:37:00Z,ring_pattern,high,claim_denied,103
FA-0031,ADJ-016,CLM-00047,2025-11-23T10:09:00Z,identity_fraud,medium,claim_denied,31
FA-0032,ADJ-017,CLM-00056,2025-12-07T09:44:00Z,provider_fraud,medium,investigated,110
FA-0033,ADJ-022,CLM-00036,2025-11-17T09:38:00Z,suspicious_timing,low,SIU_referred,206
FA-0034,ADJ-022,CLM-00034,2025-10-20T09:23:00Z,arson_suspicion,critical,SIU_referred,135
FA-0035,ADJ-026,CLM-00010,2025-10-19T17:26:00Z,staged_accident,critical,SIU_referred,51
