escalation_id,advisor_id,client_id,from_stage,to_stage,timestamp,reason,doc_delay_minutes
ESC-0001,ADV-014,CLI-013,approval,underwriting,2025-10-15T13:14:00Z,missing_docs,70
ESC-0002,ADV-024,CLI-027,underwriting,compliance_review,2025-10-29T09:30:00Z,valuation_gap,134
ESC-0003,ADV-002,CLI-028,underwriting,approval,2025-12-18T15:11:00Z,client_dispute,105
ESC-0004,ADV-005,CLI-030,underwriting,closing,2025-11-04T11:21:00Z,credit_issue,18
ESC-0005,ADV-023,CLI-037,application,closing,2025-10-18T09:54:00Z,client_dispute,127
ESC-0006,ADV-014,CLI-011,approval,underwriting,2025-11-07T17:10:00Z,manager_override,173
ESC-0007,ADV-020,CLI-011,compliance_review,underwriting,2025-10-12T14:54:00Z,valuation_gap,135
ESC-0008,ADV-007,CLI-038,closing,compliance_review,2025-11-05T08:46:00Z,client_dispute,73
ESC-0009,ADV-008,CLI-021,closing,underwriting,2025-12-15T10:58:00Z,valuation_gap,11
ESC-0010,ADV-014,CLI-003,application,compliance_review,2025-12-04T08:27:00Z,valuation_gap,110
ESC-0011,ADV-016,CLI-007,closing,compliance_review,2025-10-31T09:35:00Z,manager_override,13
ESC-0012,ADV-023,CLI-027,underwriting,approval,2025-11-15T12:15:00Z,compliance_hold,33
ESC-0013,ADV-001,CLI-031,approval,underwriting,2025-12-30T15:54:00Z,valuation_gap,159
ESC-0014,ADV-001,CLI-030,closing,underwriting,2025-12-30T14:11:00Z,manager_override,104
ESC-0015,ADV-021,CLI-030,application,underwriting,2025-11-19T13:33:00Z,missing_docs,85
ESC-0016,ADV-014,CLI-018,compliance_review,underwriting,2025-12-27T09:39:00Z,regulatory_flag,24
ESC-0017,ADV-017,CLI-024,application,underwriting,2025-11-19T13:29:00Z,valuation_gap,20
ESC-0018,ADV-012,CLI-024,underwriting,application,2025-12-11T11:08:00Z,regulatory_flag,71
ESC-0019,ADV-018,CLI-008,closing,underwriting,2025-10-29T13:22:00Z,regulatory_flag,138
ESC-0020,ADV-022,CLI-028,approval,application,2025-10-09T13:22:00Z,client_dispute,134
ESC-0021,ADV-017,CLI-034,application,compliance_review,2025-12-30T16:43:00Z,manager_override,146
ESC-0022,ADV-010,CLI-029,compliance_review,approval,2025-12-26T09:12:00Z,client_dispute,32
ESC-0023,ADV-003,CLI-026,underwriting,closing,2025-10-10T09:10:00Z,regulatory_flag,38
ESC-0024,ADV-023,CLI-010,closing,underwriting,2025-10-27T16:40:00Z,missing_docs,85
ESC-0025,ADV-014,CLI-035,underwriting,compliance_review,2025-11-14T14:28:00Z,compliance_hold,175
ESC-0026,ADV-001,CLI-019,underwriting,application,2025-10-03T11:53:00Z,valuation_gap,175
ESC-0027,ADV-011,CLI-027,compliance_review,approval,2025-12-23T13:31:00Z,valuation_gap,180
ESC-0028,ADV-023,CLI-034,compliance_review,closing,2025-11-28T12:36:00Z,credit_issue,88
ESC-0029,ADV-006,CLI-017,underwriting,compliance_review,2025-11-17T12:49:00Z,manager_override,22
ESC-0030,ADV-005,CLI-023,approval,compliance_review,2025-10-22T17:59:00Z,credit_issue,147
