survey_id,client_id,matter_id,date,responsiveness_score,outcome_score,value_score,nps
SAT-001,CLI-001,MAT-014,2026-03-01,9.3,7.0,7.3,60
SAT-002,CLI-002,MAT-027,2026-03-01,9.0,7.3,5.8,82
SAT-003,CLI-003,MAT-031,2026-03-01,8.8,9.3,6.8,74
SAT-004,CLI-004,MAT-007,2026-03-01,9.1,8.6,7.5,65
SAT-005,CLI-005,MAT-027,2026-03-01,8.3,8.9,8.5,78
SAT-006,CLI-006,MAT-002,2026-03-01,8.9,8.4,6.2,76
SAT-007,CLI-007,MAT-009,2026-03-01,6.0,7.1,6.7,93
SAT-008,CLI-008,MAT-006,2026-03-01,6.4,7.2,8.4,36
SAT-009,CLI-009,MAT-039,2026-03-01,8.6,8.9,6.8,81
SAT-010,CLI-010,MAT-009,2026-03-01,7.0,8.6,8.8,56
SAT-011,CLI-011,MAT-013,2026-03-01,6.3,7.6,7.1,68
SAT-012,CLI-012,MAT-037,2026-03-01,6.9,9.3,9.2,49
SAT-013,CLI-013,MAT-006,2026-03-01,9.7,7.1,8.3,41
SAT-014,CLI-014,MAT-004,2026-03-01,7.5,7.8,6.5,31
SAT-015,CLI-015,MAT-024,2026-03-01,6.6,8.2,5.6,87
SAT-016,CLI-016,MAT-028,2026-03-01,8.9,9.3,8.8,83
SAT-017,CLI-017,MAT-008,2026-03-01,6.9,7.1,9.3,54
SAT-018,CLI-018,MAT-019,2026-03-01,8.8,7.6,7.2,46
SAT-019,CLI-019,MAT-039,2026-03-01,6.8,9.0,8.4,44
SAT-020,CLI-020,MAT-027,2026-03-01,6.7,8.9,5.6,53
SAT-021,CLI-021,MAT-016,2026-03-01,8.3,9.2,7.0,78
SAT-022,CLI-022,MAT-006,2026-03-01,6.0,6.9,6.8,70
SAT-023,CLI-023,MAT-014,2026-03-01,8.7,8.6,8.4,52
SAT-024,CLI-024,MAT-005,2026-03-01,6.4,6.7,6.8,50
SAT-025,CLI-025,MAT-031,2026-03-01,9.5,9.5,9.3,25
