transfer_id,matter_id,from_attorney,to_attorney,timestamp,open_items,doc_time_min,reason
TRF-0001,MAT-004,ATT-010,ATT-015,2026-03-09T10:38:00Z,17,317,client_request
TRF-0002,MAT-031,ATT-023,ATT-011,2026-03-28T14:07:00Z,8,277,parental_leave
TRF-0003,MAT-006,ATT-005,ATT-001,2026-03-11T13:12:00Z,19,476,sabbatical
TRF-0004,MAT-028,ATT-002,ATT-016,2026-01-10T10:55:00Z,18,295,client_request
TRF-0005,MAT-004,ATT-029,ATT-020,2026-02-22T13:27:00Z,13,405,specialization
TRF-0006,MAT-002,ATT-018,ATT-009,2026-02-06T14:26:00Z,3,288,client_request
TRF-0007,MAT-020,ATT-021,ATT-002,2026-01-20T14:46:00Z,4,332,parental_leave
TRF-0008,MAT-016,ATT-006,ATT-003,2026-01-18T11:46:00Z,7,384,sabbatical
TRF-0009,MAT-028,ATT-029,ATT-009,2026-02-12T12:58:00Z,19,351,sabbatical
TRF-0010,MAT-003,ATT-003,ATT-012,2026-01-12T11:38:00Z,23,475,conflict
TRF-0011,MAT-025,ATT-017,ATT-025,2026-02-03T13:27:00Z,15,71,workload_rebalance
TRF-0012,MAT-017,ATT-024,ATT-021,2026-01-24T15:07:00Z,9,352,specialization
TRF-0013,MAT-020,ATT-020,ATT-017,2026-01-18T09:23:00Z,21,302,practice_group_referral
TRF-0014,MAT-028,ATT-009,ATT-025,2026-01-23T13:32:00Z,24,83,parental_leave
TRF-0015,MAT-012,ATT-022,ATT-010,2026-01-09T15:13:00Z,3,460,parental_leave
TRF-0016,MAT-009,ATT-009,ATT-010,2026-03-15T14:06:00Z,10,175,departure
TRF-0017,MAT-021,ATT-008,ATT-003,2026-02-20T16:37:00Z,16,385,client_request
TRF-0018,MAT-035,ATT-013,ATT-017,2026-01-18T14:21:00Z,13,237,sabbatical
TRF-0019,MAT-010,ATT-015,ATT-029,2026-02-24T12:34:00Z,25,147,parental_leave
TRF-0020,MAT-017,ATT-013,ATT-002,2026-03-22T10:40:00Z,18,347,client_request
