incident_id,store_id,manager_id,timestamp,type,severity,documentation_time_min,resolution
INC-0001,STR-029,MGR-002,2025-11-05T14:34:00Z,equipment_failure,medium,35,escalated_to_corporate
INC-0002,STR-011,MGR-015,2025-12-13T20:01:00Z,employee_injury,low,74,insurance_claim
INC-0003,STR-003,MGR-007,2025-10-22T13:19:00Z,theft,medium,16,resolved_on_site
INC-0004,STR-016,MGR-001,2025-12-15T20:40:00Z,customer_complaint,high,25,resolved_on_site
INC-0005,STR-016,MGR-015,2025-11-13T21:03:00Z,property_damage,medium,45,resolved_on_site
INC-0006,STR-025,MGR-015,2025-10-13T18:28:00Z,vendor_dispute,low,33,resolved_on_site
INC-0007,STR-013,MGR-023,2025-10-09T20:08:00Z,theft,critical,38,resolved_on_site
INC-0008,STR-010,MGR-014,2025-10-09T09:43:00Z,theft,medium,28,insurance_claim
INC-0009,STR-013,MGR-015,2025-11-22T11:55:00Z,vendor_dispute,high,69,resolved_on_site
INC-0010,STR-015,MGR-014,2025-12-19T17:06:00Z,customer_complaint,medium,11,insurance_claim
INC-0011,STR-017,MGR-007,2025-10-14T09:00:00Z,vendor_dispute,high,22,vendor_credit
INC-0012,STR-005,MGR-009,2025-11-15T14:30:00Z,employee_injury,medium,21,escalated_to_corporate
INC-0013,STR-005,MGR-002,2025-10-17T12:37:00Z,equipment_failure,medium,32,police_report_filed
INC-0014,STR-019,MGR-025,2025-10-19T10:30:00Z,customer_complaint,medium,28,police_report_filed
INC-0015,STR-001,MGR-022,2025-12-26T10:03:00Z,safety_hazard,medium,45,resolved_on_site
INC-0016,STR-014,MGR-007,2025-12-21T11:50:00Z,theft,medium,40,pending_investigation
INC-0017,STR-023,MGR-020,2025-12-28T13:54:00Z,vendor_dispute,medium,31,vendor_credit
INC-0018,STR-010,MGR-006,2025-10-14T15:56:00Z,property_damage,critical,41,escalated_to_corporate
INC-0019,STR-030,MGR-015,2025-10-29T19:14:00Z,equipment_failure,medium,45,insurance_claim
INC-0020,STR-024,MGR-011,2025-11-18T11:25:00Z,safety_hazard,high,10,police_report_filed
INC-0021,STR-001,MGR-015,2025-10-04T16:07:00Z,safety_hazard,low,42,pending_investigation
INC-0022,STR-019,MGR-012,2025-10-06T08:12:00Z,safety_hazard,low,24,police_report_filed
INC-0023,STR-024,MGR-015,2025-12-10T11:11:00Z,safety_hazard,low,46,resolved_on_site
INC-0024,STR-001,MGR-005,2025-11-18T18:50:00Z,theft,medium,23,police_report_filed
INC-0025,STR-015,MGR-015,2025-11-17T18:10:00Z,vendor_dispute,critical,69,insurance_claim
INC-0026,STR-029,MGR-004,2025-10-19T10:50:00Z,safety_hazard,low,34,pending_investigation
INC-0027,STR-012,MGR-014,2025-12-21T11:58:00Z,theft,high,22,vendor_credit
INC-0028,STR-010,MGR-011,2025-11-01T08:40:00Z,property_damage,low,18,vendor_credit
INC-0029,STR-019,MGR-007,2025-10-11T20:30:00Z,property_damage,medium,14,escalated_to_corporate
INC-0030,STR-017,MGR-021,2025-12-05T13:31:00Z,vendor_dispute,medium,30,pending_investigation
INC-0031,STR-012,MGR-016,2025-12-31T15:30:00Z,customer_complaint,medium,12,escalated_to_corporate
INC-0032,STR-008,MGR-015,2025-10-31T14:13:00Z,customer_complaint,medium,54,vendor_credit
INC-0033,STR-006,MGR-012,2025-11-02T16:05:00Z,safety_hazard,high,28,insurance_claim
INC-0034,STR-017,MGR-019,2025-10-06T15:32:00Z,vendor_dispute,medium,38,insurance_claim
INC-0035,STR-014,MGR-016,2025-11-10T12:24:00Z,theft,low,24,police_report_filed
