entry_id,attorney_id,matter_id,date,task_type,hours_worked,hours_billed,narrative,entry_time_min,write_down_pct
TE-0001,ATT-028,MAT-025,2026-02-25,TSK-012,5.2,5.0,Revised brief per partner comments,20,10.2
TE-0002,ATT-001,MAT-002,2026-01-09,TSK-019,7.7,7.1,Due diligence document review,16,0.6
TE-0003,ATT-024,MAT-026,2026-03-14,TSK-017,1.2,1.1,Reviewed and analyzed documents,14,3.8
TE-0004,ATT-017,MAT-039,2026-03-22,TSK-007,3.1,3.1,Research case law precedents,10,14.2
TE-0005,ATT-011,MAT-023,2026-02-24,TSK-017,2.7,2.5,Matter file organization,21,4.9
TE-0006,ATT-005,MAT-015,2026-03-14,TSK-013,5.5,4.7,Matter file organization,13,9.2
TE-0007,ATT-027,MAT-011,2026-02-10,TSK-007,3.6,3.2,Discovery document coding,18,7.0
TE-0008,ATT-017,MAT-005,2026-03-26,TSK-006,5.4,5.0,Revised brief per partner comments,17,7.7
TE-0009,ATT-003,MAT-038,2026-02-22,TSK-008,6.5,4.9,Billing narrative preparation,22,5.5
TE-0010,ATT-020,MAT-015,2026-02-15,TSK-019,1.8,1.5,Reviewed and analyzed documents,20,7.4
TE-0011,ATT-029,MAT-034,2026-02-25,TSK-008,1.7,1.6,Matter file organization,13,0.0
TE-0012,ATT-008,MAT-028,2026-01-15,TSK-015,5.4,5.3,Negotiation session with counterparty,25,8.9
TE-0013,ATT-020,MAT-003,2026-03-27,TSK-015,7.2,6.8,Analyzed regulatory filing requirements,23,6.8
TE-0014,ATT-025,MAT-032,2026-03-16,TSK-008,2.4,2.0,Revised brief per partner comments,10,10.7
TE-0015,ATT-011,MAT-023,2026-01-05,TSK-008,3.2,2.6,Internal strategy memorandum,12,10.6
TE-0016,ATT-011,MAT-003,2026-01-14,TSK-007,6.7,6.1,Reviewed and analyzed documents,20,13.6
TE-0017,ATT-028,MAT-039,2026-01-16,TSK-012,2.6,2.6,Internal strategy memorandum,20,12.8
TE-0018,ATT-018,MAT-011,2026-03-24,TSK-020,7.2,6.6,Internal strategy memorandum,12,0.0
TE-0019,ATT-016,MAT-030,2026-02-13,TSK-013,5.9,5.9,Matter file organization,22,13.8
TE-0020,ATT-001,MAT-018,2026-03-19,TSK-001,0.9,0.8,Drafted motion for summary judgment,21,2.0
TE-0021,ATT-009,MAT-022,2026-01-11,TSK-015,2.8,2.5,Internal strategy memorandum,24,14.1
TE-0022,ATT-009,MAT-014,2026-01-16,TSK-018,0.7,0.5,Drafted motion for summary judgment,23,12.9
TE-0023,ATT-025,MAT-009,2026-01-08,TSK-001,5.1,4.8,Redline review and markup,15,1.9
TE-0024,ATT-007,MAT-018,2026-02-23,TSK-012,1.6,1.3,Privilege review of document batch,11,11.7
TE-0025,ATT-004,MAT-002,2026-03-10,TSK-013,3.4,3.2,Drafted correspondence to opposing counsel,14,1.1
TE-0026,ATT-004,MAT-006,2026-03-28,TSK-020,6.5,5.8,Due diligence document review,9,5.2
TE-0027,ATT-003,MAT-028,2026-02-01,TSK-016,1.1,1.0,Prepared deposition outline,29,17.7
TE-0028,ATT-014,MAT-003,2026-03-24,TSK-009,5.0,4.5,Redline review and markup,25,11.6
TE-0029,ATT-009,MAT-022,2026-01-28,TSK-003,2.4,1.8,Research case law precedents,26,13.4
TE-0030,ATT-022,MAT-030,2026-01-11,TSK-016,6.9,6.0,Analyzed regulatory filing requirements,13,7.3
TE-0031,ATT-011,MAT-017,2026-03-20,TSK-009,4.6,3.8,Internal strategy memorandum,24,14.2
TE-0032,ATT-016,MAT-024,2026-02-23,TSK-016,3.8,3.2,Drafted correspondence to opposing counsel,8,1.4
TE-0033,ATT-010,MAT-007,2026-03-16,TSK-017,2.9,2.7,Analyzed regulatory filing requirements,25,5.0
TE-0034,ATT-010,MAT-007,2026-01-08,TSK-007,2.7,2.5,Discovery document coding,25,14.3
TE-0035,ATT-007,MAT-018,2026-03-09,TSK-019,7.8,7.8,Discovery document coding,24,9.0
TE-0036,ATT-010,MAT-025,2026-01-12,TSK-010,0.4,0.3,Drafted motion for summary judgment,25,1.9
TE-0037,ATT-018,MAT-016,2026-01-23,TSK-016,1.1,1.1,Billing narrative preparation,5,0.0
TE-0038,ATT-016,MAT-023,2026-01-11,TSK-002,2.2,1.8,Billing narrative preparation,23,1.7
TE-0039,ATT-003,MAT-038,2026-01-05,TSK-019,7.6,5.5,Internal strategy memorandum,20,24.9
TE-0040,ATT-020,MAT-015,2026-03-25,TSK-013,3.8,3.5,Internal strategy memorandum,22,4.5
TE-0041,ATT-010,MAT-025,2026-03-20,TSK-004,7.6,6.5,Client conference re strategy,14,9.4
TE-0042,ATT-006,MAT-036,2026-03-06,TSK-003,1.5,1.4,Privilege review of document batch,21,6.8
TE-0043,ATT-002,MAT-015,2026-03-10,TSK-010,5.7,4.8,Analyzed regulatory filing requirements,22,1.1
TE-0044,ATT-026,MAT-004,2026-01-14,TSK-018,2.0,1.9,Client conference re strategy,12,13.6
TE-0045,ATT-002,MAT-015,2026-02-26,TSK-020,6.1,5.5,Privilege review of document batch,17,6.6
TE-0046,ATT-023,MAT-009,2026-03-09,TSK-018,4.1,3.9,Internal strategy memorandum,6,0.0
TE-0047,ATT-024,MAT-026,2026-02-20,TSK-001,1.0,0.9,Analyzed regulatory filing requirements,8,15.0
TE-0048,ATT-019,MAT-025,2026-01-25,TSK-016,4.3,3.6,Redline review and markup,22,13.7
TE-0049,ATT-014,MAT-015,2026-02-03,TSK-012,3.4,3.3,Revised brief per partner comments,18,10.1
TE-0050,ATT-014,MAT-015,2026-03-10,TSK-013,6.6,5.4,Analyzed regulatory filing requirements,25,0.6
TE-0051,ATT-011,MAT-023,2026-02-25,TSK-017,6.7,6.1,Internal strategy memorandum,8,9.9
TE-0052,ATT-002,MAT-015,2026-02-17,TSK-020,6.1,5.1,Matter file organization,22,11.4
TE-0053,ATT-005,MAT-033,2026-03-15,TSK-016,1.2,1.0,Reviewed and analyzed documents,15,10.6
TE-0054,ATT-018,MAT-016,2026-01-03,TSK-004,3.9,3.8,Prepared deposition outline,6,0.0
TE-0055,ATT-016,MAT-011,2026-03-17,TSK-009,3.5,3.0,Matter file organization,23,14.7
TE-0056,ATT-005,MAT-033,2026-03-07,TSK-017,6.0,5.1,Internal strategy memorandum,12,13.0
TE-0057,ATT-011,MAT-017,2026-01-27,TSK-010,5.9,5.2,Billing narrative preparation,23,13.0
TE-0058,ATT-012,MAT-025,2026-03-18,TSK-013,3.8,3.8,Drafted correspondence to opposing counsel,18,13.0
TE-0059,ATT-019,MAT-015,2026-02-08,TSK-002,2.7,2.6,Prepared court filing package,23,10.6
TE-0060,ATT-022,MAT-032,2026-01-16,TSK-005,4.2,4.1,Negotiation session with counterparty,18,13.0
TE-0061,ATT-004,MAT-006,2026-03-01,TSK-005,3.5,3.3,Analyzed regulatory filing requirements,12,1.1
TE-0062,ATT-011,MAT-003,2026-01-21,TSK-011,6.9,6.0,Billing narrative preparation,25,5.7
